setup,Trades,WR,AvgR
8.2,10,0.6,0.5
8.3,26,0.46153846153846156,0.19230769230769232
DL,6,0.6666666666666666,0.6666666666666666
PFR,13,0.7692307692307693,0.9230769230769231
