Config,BASE Train Trades,BASE Train AvgR,BASE Test Trades,BASE Test AvgR,BEST dist_sma8_max,BEST dist_sma80_max,BEST sma_gap_min,BEST Train Trades,BEST Train AvgR,BEST Test Trades,BEST Test AvgR
htf0_tx0_be1,452,-0.14712389380530974,185,-0.08648648648648649,0.01,0.03,0.0,93,-0.03763440860215054,55,0.4727272727272727
htf0_tx1_be1,452,-0.14712389380530974,185,-0.08648648648648649,0.01,0.03,0.0,93,-0.03763440860215054,55,0.4727272727272727
