timeframe,setup,side,rr,feature,bucket,trades,wins,losses,win_rate,win_rate_pct,thr_lo,thr_hi
1h,DL,long,1.5,ma_gap_pct,low40,116,40,76,0.3448275862068966,"34,5%",,1.159338953878153
1h,DL,long,1.5,ma_gap_pct,high40,116,49,67,0.4224137931034483,"42,2%",1.7672619477470672,
1h,DL,long,1.5,ma_gap_pct,low50,145,52,93,0.3586206896551724,"35,9%",,1.4019787319852628
1h,DL,long,1.5,ma_gap_pct,high50,145,62,83,0.42758620689655175,"42,8%",1.4019787319852628,
1h,DL,long,1.5,ma_gap_pct,low60,174,65,109,0.3735632183908046,"37,4%",,1.7672619477470672
1h,DL,long,1.5,ma_gap_pct,high60,174,74,100,0.42528735632183906,"42,5%",1.159338953878153,
1h,DL,long,1.5,dist_to_sma80_pct,ALL,290,114,176,0.3931034482758621,"39,3%",,
1h,DL,long,1.5,dist_to_sma80_pct,low15,44,14,30,0.3181818181818182,"31,8%",,0.6261779792304037
1h,DL,long,1.5,dist_to_sma80_pct,high15,44,17,27,0.38636363636363635,"38,6%",3.496415918730279,
1h,DL,long,1.5,dist_to_sma80_pct,low20,58,22,36,0.3793103448275862,"37,9%",,0.7901467466793369
1h,DL,long,1.5,dist_to_sma80_pct,high20,58,24,34,0.41379310344827586,"41,4%",3.187429898047006,
1h,DL,long,1.5,dist_to_sma80_pct,low25,73,26,47,0.3561643835616438,"35,6%",,0.9429682086810538
1h,DL,long,1.5,dist_to_sma80_pct,high25,73,29,44,0.3972602739726027,"39,7%",2.794915703516218,
1h,DL,long,1.5,dist_to_sma80_pct,low30,87,31,56,0.3563218390804598,"35,6%",,1.1232298137362537
1h,DL,long,1.5,dist_to_sma80_pct,high30,87,38,49,0.4367816091954023,"43,7%",2.6571730979745634,
1h,DL,long,1.5,dist_to_sma80_pct,low40,116,36,80,0.3103448275862069,31%,,1.4328143470412396
1h,DL,long,1.5,dist_to_sma80_pct,high40,116,52,64,0.4482758620689655,"44,8%",2.052694789382059,
1h,DL,long,1.5,dist_to_sma80_pct,low50,145,52,93,0.3586206896551724,"35,9%",,1.6919200246149253
1h,DL,long,1.5,dist_to_sma80_pct,high50,145,62,83,0.42758620689655175,"42,8%",1.6919200246149253,
1h,DL,long,1.5,dist_to_sma80_pct,low60,174,62,112,0.3563218390804598,"35,6%",,2.052694789382059
1h,DL,long,1.5,dist_to_sma80_pct,high60,174,78,96,0.4482758620689655,"44,8%",1.4328143470412396,
1h,DL,long,1.5,atr_pct,ALL,290,114,176,0.3931034482758621,"39,3%",,
1h,DL,long,1.5,atr_pct,low15,44,18,26,0.4090909090909091,"40,9%",,0.39393295943054596
1h,DL,long,1.5,atr_pct,high15,44,14,30,0.3181818181818182,"31,8%",0.8689439351874766,
1h,DL,long,1.5,atr_pct,low20,58,28,30,0.4827586206896552,"48,3%",,0.43090905185640144
1h,DL,long,1.5,atr_pct,high20,58,23,35,0.39655172413793105,"39,7%",0.811779485197187,
1h,DL,long,1.5,atr_pct,low25,73,33,40,0.4520547945205479,"45,2%",,0.46868997489743397
1h,DL,long,1.5,atr_pct,high25,73,29,44,0.3972602739726027,"39,7%",0.7649482900775516,
1h,DL,long,1.5,atr_pct,low30,87,41,46,0.47126436781609193,"47,1%",,0.499080862910002
1h,DL,long,1.5,atr_pct,high30,87,33,54,0.3793103448275862,"37,9%",0.7298592885263905,
1h,DL,long,1.5,atr_pct,low40,116,51,65,0.4396551724137931,44%,,0.5449925441458942
1h,DL,long,1.5,atr_pct,high40,116,39,77,0.33620689655172414,"33,6%",0.6522503802496743,
1h,DL,long,1.5,atr_pct,low50,145,61,84,0.4206896551724138,"42,1%",,0.5977885690117684
1h,DL,long,1.5,atr_pct,high50,145,53,92,0.36551724137931035,"36,6%",0.5977885690117684,
1h,DL,long,1.5,atr_pct,low60,174,75,99,0.43103448275862066,"43,1%",,0.6522503802496743
1h,DL,long,1.5,atr_pct,high60,174,63,111,0.3620689655172414,"36,2%",0.5449925441458942,
1h,DL,long,1.5,clv,ALL,290,114,176,0.3931034482758621,"39,3%",,
1h,DL,long,1.5,clv,low15,44,11,33,0.25,25%,,0.43660505516771225
1h,DL,long,1.5,clv,high15,44,19,25,0.4318181818181818,"43,2%",0.9427317164918317,
1h,DL,long,1.5,clv,low20,58,20,38,0.3448275862068966,"34,5%",,0.5110680020655324
1h,DL,long,1.5,clv,high20,58,25,33,0.43103448275862066,"43,1%",0.9163818507514643,
1h,DL,long,1.5,clv,low25,73,25,48,0.3424657534246575,"34,2%",,0.5643578334826505
1h,DL,long,1.5,clv,high25,73,31,42,0.4246575342465753,"42,5%",0.8934289514347173,
1h,DL,long,1.5,clv,low30,87,31,56,0.3563218390804598,"35,6%",,0.6338806963077888
1h,DL,long,1.5,clv,high30,87,35,52,0.40229885057471265,"40,2%",0.8779405150337052,
1h,DL,long,1.5,clv,low40,116,38,78,0.3275862068965517,"32,8%",,0.7050644041835286
1h,DL,long,1.5,clv,high40,116,47,69,0.4051724137931034,"40,5%",0.8485830007417461,
1h,DL,long,1.5,clv,low50,145,52,93,0.3586206896551724,"35,9%",,0.7875314183551031
1h,DL,long,1.5,clv,high50,145,62,83,0.42758620689655175,"42,8%",0.7875314183551031,
1h,DL,long,1.5,clv,low60,174,67,107,0.3850574712643678,"38,5%",,0.8485830007417461
1h,DL,long,1.5,clv,high60,174,76,98,0.4367816091954023,"43,7%",0.7050644041835286,
1h,DL,long,1.5,range_pct,ALL,290,114,176,0.3931034482758621,"39,3%",,
1h,DL,long,1.5,range_pct,low15,44,17,27,0.38636363636363635,"38,6%",,0.30981153444193843
1h,DL,long,1.5,range_pct,high15,44,21,23,0.4772727272727273,"47,7%",0.9788866548983619,
1h,DL,long,1.5,range_pct,low20,58,23,35,0.39655172413793105,"39,7%",,0.35264549705504883
1h,DL,long,1.5,range_pct,high20,58,28,30,0.4827586206896552,"48,3%",0.9192712671453016,
1h,DL,long,1.5,range_pct,low25,73,27,46,0.3698630136986301,37%,,0.3874591914286313
1h,DL,long,1.5,range_pct,high25,73,31,42,0.4246575342465753,"42,5%",0.8592857574870353,
1h,DL,long,1.5,range_pct,low30,87,31,56,0.3563218390804598,"35,6%",,0.4183268244900742
1h,DL,long,1.5,range_pct,high30,87,37,50,0.42528735632183906,"42,5%",0.7650569882440806,
1h,DL,long,1.5,range_pct,low40,116,41,75,0.35344827586206895,"35,3%",,0.48207757356897274
