TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
1h,PFR,1.0,lower_wick_pct,Low25,65,0.5538461538461539,,26.172090457804988
1h,PFR,1.0,lower_wick_pct,High25,65,0.4307692307692308,55.92823712948418,
1h,PFR,1.0,pos_in_range_n,Low25,65,0.5076923076923077,,0.7004483789376845
1h,PFR,1.0,pos_in_range_n,High25,65,0.6307692307692307,0.8729830368225072,
1h,PFR,1.0,ret_5_pct,Low25,65,0.4153846153846154,,0.15187630711344102
1h,PFR,1.0,ret_5_pct,High25,65,0.5846153846153846,0.7448611670574978,
1h,PFR,1.0,vol_z,Low25,65,0.46153846153846156,,-0.5896431360977697
1h,PFR,1.0,vol_z,High25,65,0.6461538461538462,0.6742126388779248,
2h,8.2,1.0,ALL,ALL,110,0.44545454545454544,,
2h,8.2,1.0,slope_strength,Low25,28,0.39285714285714285,,72.49062500000127
2h,8.2,1.0,slope_strength,High25,28,0.5714285714285714,199.10312499999418,
2h,8.2,1.0,bars_since_new_high,Low25,49,0.3673469387755102,,1.0
2h,8.2,1.0,bars_since_new_high,High25,33,0.5757575757575758,3.0,
2h,8.2,1.0,pullback_from_new_high_pct,Low25,28,0.39285714285714285,,0.8554920563171672
2h,8.2,1.0,pullback_from_new_high_pct,High25,28,0.5,1.5285540750191624,
2h,8.2,1.0,dist_to_sma80_pct,Low25,28,0.35714285714285715,,1.4707616836464217
2h,8.2,1.0,dist_to_sma80_pct,High25,28,0.6071428571428571,4.277378015293063,
2h,8.2,1.0,atr_pct,Low25,28,0.4642857142857143,,0.7008482337753444
2h,8.2,1.0,atr_pct,High25,28,0.5714285714285714,1.1177818707258682,
2h,8.2,1.0,clv,Low25,28,0.5,,0.1251792407609962
2h,8.2,1.0,clv,High25,28,0.5,0.37921429262031814,
2h,8.2,1.0,lower_wick_pct,Low25,28,0.5,,12.51792407609962
2h,8.2,1.0,lower_wick_pct,High25,28,0.5,37.921429262031815,
2h,8.2,1.0,pos_in_range_n,Low25,28,0.4642857142857143,,0.6587453412196115
2h,8.2,1.0,pos_in_range_n,High25,28,0.4642857142857143,0.8099169957410507,
2h,8.2,1.0,ret_5_pct,Low25,28,0.2857142857142857,,0.38917424451236915
2h,8.2,1.0,ret_5_pct,High25,28,0.5714285714285714,1.3925286977233442,
2h,8.2,1.0,vol_z,Low25,28,0.5357142857142857,,-0.7779071486738486
2h,8.2,1.0,vol_z,High25,28,0.4642857142857143,0.40156659750661844,
2h,8.3,1.0,ALL,ALL,332,0.4066265060240964,,
2h,8.3,1.0,slope_strength,Low25,83,0.37349397590361444,,59.99999999999636
2h,8.3,1.0,slope_strength,High25,83,0.4457831325301205,205.8468750000029,
2h,8.3,1.0,bars_since_new_high,Low25,87,0.42528735632183906,,1.0
2h,8.3,1.0,bars_since_new_high,High25,99,0.48484848484848486,4.0,
2h,8.3,1.0,pullback_from_new_high_pct,Low25,83,0.4457831325301205,,0.6564817048470182
