TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
1h,PFR,1.5,vol_z,High25,65,0.5076923076923077,0.6742126388779248,
2h,8.2,1.5,ALL,ALL,110,0.38181818181818183,,
2h,8.2,1.5,slope_strength,Low25,28,0.2857142857142857,,72.49062500000127
2h,8.2,1.5,slope_strength,High25,28,0.5,199.10312499999418,
2h,8.2,1.5,bars_since_new_high,Low25,49,0.3469387755102041,,1.0
2h,8.2,1.5,bars_since_new_high,High25,33,0.5151515151515151,3.0,
2h,8.2,1.5,pullback_from_new_high_pct,Low25,28,0.2857142857142857,,0.8554920563171672
2h,8.2,1.5,pullback_from_new_high_pct,High25,28,0.4642857142857143,1.5285540750191624,
2h,8.2,1.5,dist_to_sma80_pct,Low25,28,0.21428571428571427,,1.4707616836464217
2h,8.2,1.5,dist_to_sma80_pct,High25,28,0.5714285714285714,4.277378015293063,
2h,8.2,1.5,atr_pct,Low25,28,0.39285714285714285,,0.7008482337753444
2h,8.2,1.5,atr_pct,High25,28,0.5,1.1177818707258682,
2h,8.2,1.5,clv,Low25,28,0.4642857142857143,,0.1251792407609962
2h,8.2,1.5,clv,High25,28,0.39285714285714285,0.37921429262031814,
2h,8.2,1.5,lower_wick_pct,Low25,28,0.4642857142857143,,12.51792407609962
2h,8.2,1.5,lower_wick_pct,High25,28,0.39285714285714285,37.921429262031815,
2h,8.2,1.5,pos_in_range_n,Low25,28,0.39285714285714285,,0.6587453412196115
2h,8.2,1.5,pos_in_range_n,High25,28,0.42857142857142855,0.8099169957410507,
2h,8.2,1.5,ret_5_pct,Low25,28,0.21428571428571427,,0.38917424451236915
2h,8.2,1.5,ret_5_pct,High25,28,0.5357142857142857,1.3925286977233442,
2h,8.2,1.5,vol_z,Low25,28,0.4642857142857143,,-0.7779071486738486
2h,8.2,1.5,vol_z,High25,28,0.39285714285714285,0.40156659750661844,
2h,8.3,1.5,ALL,ALL,332,0.3253012048192771,,
2h,8.3,1.5,slope_strength,Low25,83,0.2891566265060241,,59.99999999999636
2h,8.3,1.5,slope_strength,High25,83,0.3493975903614458,205.8468750000029,
2h,8.3,1.5,bars_since_new_high,Low25,87,0.3333333333333333,,1.0
2h,8.3,1.5,bars_since_new_high,High25,99,0.40404040404040403,4.0,
2h,8.3,1.5,pullback_from_new_high_pct,Low25,83,0.39759036144578314,,0.6564817048470182
2h,8.3,1.5,pullback_from_new_high_pct,High25,83,0.3493975903614458,1.4901562443419412,
2h,8.3,1.5,dist_to_sma80_pct,Low25,83,0.3253012048192771,,1.6492669945981973
2h,8.3,1.5,dist_to_sma80_pct,High25,83,0.26506024096385544,4.936173749793239,
2h,8.3,1.5,atr_pct,Low25,83,0.3614457831325301,,0.7029130015104171
2h,8.3,1.5,atr_pct,High25,83,0.30120481927710846,1.1633093584215337,
2h,8.3,1.5,clv,Low25,83,0.3132530120481928,,0.30858215338456807
2h,8.3,1.5,clv,High25,83,0.3614457831325301,0.7198470030623766,
2h,8.3,1.5,lower_wick_pct,Low25,83,0.42168674698795183,,18.393274633630817
2h,8.3,1.5,lower_wick_pct,High25,83,0.37349397590361444,52.3188674863231,
2h,8.3,1.5,pos_in_range_n,Low25,83,0.40963855421686746,,0.6951453268356688
2h,8.3,1.5,pos_in_range_n,High25,83,0.3855421686746988,0.8468431324706951,
2h,8.3,1.5,ret_5_pct,Low25,83,0.25301204819277107,,0.26658421455368897
2h,8.3,1.5,ret_5_pct,High25,83,0.30120481927710846,1.4619855842889773,
2h,8.3,1.5,vol_z,Low25,83,0.2891566265060241,,-0.7945491936904346
2h,8.3,1.5,vol_z,High25,83,0.30120481927710846,0.09755447308959928,
2h,DL,1.5,ALL,ALL,91,0.3076923076923077,,
2h,DL,1.5,slope_strength,Low25,23,0.391304347826087,,57.16250000000218
2h,DL,1.5,slope_strength,High25,23,0.34782608695652173,226.29375000000073,
2h,DL,1.5,bars_since_new_high,Low25,26,0.38461538461538464,,1.0
2h,DL,1.5,bars_since_new_high,High25,44,0.3409090909090909,3.0,
2h,DL,1.5,pullback_from_new_high_pct,Low25,23,0.391304347826087,,0.8729468186142035
2h,DL,1.5,pullback_from_new_high_pct,High25,23,0.21739130434782608,1.4081302204489323,
2h,DL,1.5,dist_to_sma80_pct,Low25,23,0.21739130434782608,,1.6033802212666304
2h,DL,1.5,dist_to_sma80_pct,High25,23,0.2608695652173913,4.670207910712663,
2h,DL,1.5,atr_pct,Low25,23,0.391304347826087,,0.7304263928834723
2h,DL,1.5,atr_pct,High25,23,0.34782608695652173,1.1397585492952795,
2h,DL,1.5,clv,Low25,23,0.30434782608695654,,0.3198665485653849
2h,DL,1.5,clv,High25,23,0.34782608695652173,0.649732160009551,
2h,DL,1.5,lower_wick_pct,Low25,23,0.30434782608695654,,31.986654856538486
2h,DL,1.5,lower_wick_pct,High25,23,0.34782608695652173,64.97321600095509,
2h,DL,1.5,pos_in_range_n,Low25,23,0.391304347826087,,0.6984911284728287
2h,DL,1.5,pos_in_range_n,High25,23,0.30434782608695654,0.830361301883868,
2h,DL,1.5,ret_5_pct,Low25,23,0.17391304347826086,,0.20027781852330895
2h,DL,1.5,ret_5_pct,High25,23,0.4782608695652174,1.0509140586447807,
2h,DL,1.5,vol_z,Low25,23,0.30434782608695654,,-0.7835945502372966
2h,DL,1.5,vol_z,High25,23,0.34782608695652173,0.25767891434242324,
2h,PFR,1.5,ALL,ALL,141,0.46099290780141844,,
2h,PFR,1.5,slope_strength,Low25,36,0.4444444444444444,,44.98749999999927
2h,PFR,1.5,slope_strength,High25,36,0.4166666666666667,187.0625,
2h,PFR,1.5,bars_since_new_high,Low25,54,0.42592592592592593,,2.0
2h,PFR,1.5,bars_since_new_high,High25,36,0.5,11.0,
2h,PFR,1.5,pullback_from_new_high_pct,Low25,36,0.4722222222222222,,0.4802728544098127
2h,PFR,1.5,pullback_from_new_high_pct,High25,36,0.5277777777777778,1.5412074680567898,
2h,PFR,1.5,dist_to_sma80_pct,Low25,36,0.4166666666666667,,1.2821600391632877
2h,PFR,1.5,dist_to_sma80_pct,High25,36,0.4444444444444444,4.554738433554354,
2h,PFR,1.5,atr_pct,Low25,36,0.5277777777777778,,0.673947220234081
2h,PFR,1.5,atr_pct,High25,36,0.5,1.0966035310280502,
2h,PFR,1.5,clv,Low25,36,0.3333333333333333,,0.7134285280267385
2h,PFR,1.5,clv,High25,36,0.4166666666666667,0.908038976857478,
2h,PFR,1.5,lower_wick_pct,Low25,36,0.3611111111111111,,26.179736294240115
2h,PFR,1.5,lower_wick_pct,High25,36,0.5833333333333334,62.965340179718424,
2h,PFR,1.5,pos_in_range_n,Low25,36,0.3611111111111111,,0.6922929263844901
2h,PFR,1.5,pos_in_range_n,High25,36,0.3333333333333333,0.8756089129136674,
2h,PFR,1.5,ret_5_pct,Low25,36,0.4166666666666667,,0.1508468740264668
2h,PFR,1.5,ret_5_pct,High25,36,0.5,1.2026270845784115,
2h,PFR,1.5,vol_z,Low25,36,0.4444444444444444,,-0.6291208016685599
2h,PFR,1.5,vol_z,High25,36,0.4444444444444444,1.0909003104015562,
4h,8.2,1.5,ALL,ALL,70,0.32857142857142857,,
4h,8.2,1.5,slope_strength,Low25,18,0.3333333333333333,,92.76250000000255
4h,8.2,1.5,slope_strength,High25,18,0.5,339.4687499999891,
4h,8.2,1.5,bars_since_new_high,Low25,28,0.39285714285714285,,1.0
4h,8.2,1.5,bars_since_new_high,High25,18,0.2777777777777778,3.75,
4h,8.2,1.5,pullback_from_new_high_pct,Low25,18,0.3888888888888889,,1.4635712817097857
4h,8.2,1.5,pullback_from_new_high_pct,High25,18,0.2222222222222222,2.656453233683533,
4h,8.2,1.5,dist_to_sma80_pct,Low25,18,0.5555555555555556,,2.111571553099233
4h,8.2,1.5,dist_to_sma80_pct,High25,18,0.4444444444444444,6.03581537883925,
4h,8.2,1.5,atr_pct,Low25,18,0.3888888888888889,,1.0122362201024888
4h,8.2,1.5,atr_pct,High25,18,0.4444444444444444,1.6632138736277595,
4h,8.2,1.5,clv,Low25,18,0.2777777777777778,,0.17978092227708528
4h,8.2,1.5,clv,High25,18,0.3333333333333333,0.3668893058674342,
4h,8.2,1.5,lower_wick_pct,Low25,18,0.2777777777777778,,17.97809222770853
4h,8.2,1.5,lower_wick_pct,High25,18,0.3333333333333333,36.68893058674342,
4h,8.2,1.5,pos_in_range_n,Low25,18,0.16666666666666666,,0.6363546943806019
4h,8.2,1.5,pos_in_range_n,High25,18,0.5555555555555556,0.8041282818232107,
4h,8.2,1.5,ret_5_pct,Low25,18,0.2777777777777778,,0.27409225837444207
4h,8.2,1.5,ret_5_pct,High25,18,0.5,1.768839630641178,
4h,8.2,1.5,vol_z,Low25,18,0.2777777777777778,,-0.8565009169882392
4h,8.2,1.5,vol_z,High25,18,0.4444444444444444,0.5891534485893128,
4h,8.3,1.5,ALL,ALL,158,0.2974683544303797,,
4h,8.3,1.5,slope_strength,Low25,40,0.15,,85.84999999999764
4h,8.3,1.5,slope_strength,High25,40,0.275,307.518749999992,
4h,8.3,1.5,bars_since_new_high,Low25,44,0.4090909090909091,,1.0
4h,8.3,1.5,bars_since_new_high,High25,42,0.2619047619047619,4.0,
4h,8.3,1.5,pullback_from_new_high_pct,Low25,40,0.25,,0.8297097934705714
4h,8.3,1.5,pullback_from_new_high_pct,High25,40,0.25,1.787810820456977,
4h,8.3,1.5,dist_to_sma80_pct,Low25,40,0.375,,2.347869113763567
4h,8.3,1.5,dist_to_sma80_pct,High25,40,0.375,7.118233835606042,
4h,8.3,1.5,atr_pct,Low25,40,0.25,,1.0509867223180152
4h,8.3,1.5,atr_pct,High25,40,0.35,1.554766051928311,
4h,8.3,1.5,clv,Low25,40,0.2,,0.32255005502262635
4h,8.3,1.5,clv,High25,40,0.35,0.7386833602983808,
4h,8.3,1.5,lower_wick_pct,Low25,40,0.2,,19.848476401818417
4h,8.3,1.5,lower_wick_pct,High25,40,0.35,56.312414587979816,
4h,8.3,1.5,pos_in_range_n,Low25,40,0.275,,0.7250116103899327
4h,8.3,1.5,pos_in_range_n,High25,40,0.325,0.8696623086276782,
4h,8.3,1.5,ret_5_pct,Low25,40,0.325,,0.5210597048846743
4h,8.3,1.5,ret_5_pct,High25,40,0.275,2.1183214728346336,
4h,8.3,1.5,vol_z,Low25,40,0.275,,-0.9561908253974393
4h,8.3,1.5,vol_z,High25,40,0.3,-0.20540957449075672,
4h,DL,1.5,ALL,ALL,53,0.24528301886792453,,
4h,DL,1.5,slope_strength,Low25,14,0.14285714285714285,,101.60000000000582
4h,DL,1.5,slope_strength,High25,14,0.2857142857142857,335.3625000000102,
4h,DL,1.5,bars_since_new_high,Low25,29,0.2413793103448276,,2.0
4h,DL,1.5,bars_since_new_high,High25,19,0.2631578947368421,4.0,
4h,DL,1.5,pullback_from_new_high_pct,Low25,14,0.42857142857142855,,1.1290664887972564
4h,DL,1.5,pullback_from_new_high_pct,High25,14,0.14285714285714285,2.1198639099712118,
4h,DL,1.5,dist_to_sma80_pct,Low25,14,0.42857142857142855,,2.354154552243599
4h,DL,1.5,dist_to_sma80_pct,High25,14,0.14285714285714285,6.73413255082819,
4h,DL,1.5,atr_pct,Low25,14,0.42857142857142855,,0.9336171686531163
4h,DL,1.5,atr_pct,High25,14,0.14285714285714285,1.5115622678880913,
4h,DL,1.5,clv,Low25,14,0.21428571428571427,,0.31633153506620665
4h,DL,1.5,clv,High25,14,0.35714285714285715,0.5529393173198492,
4h,DL,1.5,lower_wick_pct,Low25,14,0.21428571428571427,,31.633153506620665
4h,DL,1.5,lower_wick_pct,High25,14,0.35714285714285715,55.29393173198493,
4h,DL,1.5,pos_in_range_n,Low25,14,0.14285714285714285,,0.6820440795159909
4h,DL,1.5,pos_in_range_n,High25,14,0.2857142857142857,0.8097440103303261,
4h,DL,1.5,ret_5_pct,Low25,14,0.21428571428571427,,0.22097301249970336
4h,DL,1.5,ret_5_pct,High25,14,0.21428571428571427,1.3880775050685301,
4h,DL,1.5,vol_z,Low25,14,0.35714285714285715,,-0.7361860750956181
4h,DL,1.5,vol_z,High25,14,0.2857142857142857,0.7840913785245789,
4h,PFR,1.5,ALL,ALL,78,0.46153846153846156,,
4h,PFR,1.5,slope_strength,Low25,20,0.6,,68.828125
4h,PFR,1.5,slope_strength,High25,20,0.25,269.5937500000109,
4h,PFR,1.5,bars_since_new_high,Low25,28,0.35714285714285715,,2.0
4h,PFR,1.5,bars_since_new_high,High25,21,0.47619047619047616,8.0,
4h,PFR,1.5,pullback_from_new_high_pct,Low25,20,0.45,,0.6124113305878296
4h,PFR,1.5,pullback_from_new_high_pct,High25,20,0.55,1.7874851490807018,
4h,PFR,1.5,dist_to_sma80_pct,Low25,20,0.7,,2.1302839579470594
4h,PFR,1.5,dist_to_sma80_pct,High25,20,0.5,6.437122529841357,
4h,PFR,1.5,atr_pct,Low25,20,0.55,,0.917748446316418
4h,PFR,1.5,atr_pct,High25,20,0.6,1.4763307327571409,
4h,PFR,1.5,clv,Low25,20,0.65,,0.7630791387178204
4h,PFR,1.5,clv,High25,20,0.35,0.9334306405746976,
4h,PFR,1.5,lower_wick_pct,Low25,20,0.35,,29.636066669557298
4h,PFR,1.5,lower_wick_pct,High25,20,0.35,57.93684107323729,
4h,PFR,1.5,pos_in_range_n,Low25,20,0.45,,0.7296477520315481
4h,PFR,1.5,pos_in_range_n,High25,20,0.4,0.8906557066849471,
4h,PFR,1.5,ret_5_pct,Low25,20,0.4,,0.17714222309708205
4h,PFR,1.5,ret_5_pct,High25,20,0.3,1.5691111975320193,
4h,PFR,1.5,vol_z,Low25,20,0.5,,-0.6600953637822309
4h,PFR,1.5,vol_z,High25,20,0.45,1.1797331294163302,
1d,8.3,2.0,ALL,ALL,27,0.3333333333333333,,
1d,8.3,2.0,bars_since_new_high,Low25,10,0.2,,2.0
1h,8.2,2.0,ALL,ALL,255,0.30196078431372547,,
1h,8.2,2.0,slope_strength,Low25,64,0.25,,43.43124999999782
1h,8.2,2.0,slope_strength,High25,64,0.296875,161.75,
1h,8.2,2.0,bars_since_new_high,Low25,99,0.30303030303030304,,1.0
1h,8.2,2.0,bars_since_new_high,High25,91,0.37362637362637363,3.0,
1h,8.2,2.0,pullback_from_new_high_pct,Low25,64,0.265625,,0.6131431716772447
1h,8.2,2.0,pullback_from_new_high_pct,High25,64,0.328125,1.2172610966487074,
1h,8.2,2.0,dist_to_sma80_pct,Low25,64,0.34375,,1.0396525340779397
1h,8.2,2.0,dist_to_sma80_pct,High25,64,0.296875,2.9602873718145912,
1h,8.2,2.0,atr_pct,Low25,64,0.34375,,0.4895773427549239
1h,8.2,2.0,atr_pct,High25,64,0.328125,0.827734675359336,
1h,8.2,2.0,clv,Low25,64,0.3125,,0.11483441893121822
1h,8.2,2.0,clv,High25,64,0.359375,0.38470531784223794,
1h,8.2,2.0,lower_wick_pct,Low25,64,0.3125,,11.483441893121823
1h,8.2,2.0,lower_wick_pct,High25,64,0.359375,38.470531784223795,
1h,8.2,2.0,pos_in_range_n,Low25,64,0.296875,,0.6714921411706514
1h,8.2,2.0,pos_in_range_n,High25,64,0.234375,0.8020509756123595,
1h,8.2,2.0,ret_5_pct,Low25,64,0.28125,,0.2025416003253122
1h,8.2,2.0,ret_5_pct,High25,64,0.3125,1.0338139061906726,
1h,8.2,2.0,vol_z,Low25,64,0.234375,,-0.651310380682443
1h,8.2,2.0,vol_z,High25,64,0.3125,0.27810216672224997,
1h,8.3,2.0,ALL,ALL,558,0.34408602150537637,,
1h,8.3,2.0,slope_strength,Low25,140,0.36428571428571427,,39.784374999995634
1h,8.3,2.0,slope_strength,High25,140,0.37857142857142856,155.51874999999563,
1h,8.3,2.0,bars_since_new_high,Low25,175,0.3485714285714286,,1.0
1h,8.3,2.0,bars_since_new_high,High25,145,0.36551724137931035,4.0,
1h,8.3,2.0,pullback_from_new_high_pct,Low25,140,0.35714285714285715,,0.5035268468909435
1h,8.3,2.0,pullback_from_new_high_pct,High25,140,0.3357142857142857,1.015658729609905,
1h,8.3,2.0,dist_to_sma80_pct,Low25,140,0.37857142857142856,,1.154483330629184
1h,8.3,2.0,dist_to_sma80_pct,High25,140,0.34285714285714286,3.383003366473048,
1h,8.3,2.0,atr_pct,Low25,140,0.39285714285714285,,0.4844325630666356
1h,8.3,2.0,atr_pct,High25,140,0.34285714285714286,0.8297384171489731,
1h,8.3,2.0,clv,Low25,140,0.3142857142857143,,0.256480163549365
1h,8.3,2.0,clv,High25,140,0.34285714285714286,0.7017553813739128,
1h,8.3,2.0,lower_wick_pct,Low25,140,0.3142857142857143,,17.367713875608587
1h,8.3,2.0,lower_wick_pct,High25,140,0.34285714285714286,50.914238413723304,
1h,8.3,2.0,pos_in_range_n,Low25,140,0.34285714285714286,,0.696796931525993
1h,8.3,2.0,pos_in_range_n,High25,140,0.29285714285714287,0.8459992728646426,
1h,8.3,2.0,ret_5_pct,Low25,140,0.35,,0.2204311985697649
1h,8.3,2.0,ret_5_pct,High25,140,0.3357142857142857,1.054702188482387,
1h,8.3,2.0,vol_z,Low25,140,0.2785714285714286,,-0.7045986622282183
1h,8.3,2.0,vol_z,High25,140,0.37857142857142856,0.1678567937454372,
1h,DL,2.0,ALL,ALL,166,0.29518072289156627,,
1h,DL,2.0,slope_strength,Low25,42,0.23809523809523808,,36.068750000000364
1h,DL,2.0,slope_strength,High25,42,0.2857142857142857,148.787499999994,
1h,DL,2.0,bars_since_new_high,Low25,85,0.27058823529411763,,2.0
1h,DL,2.0,bars_since_new_high,High25,50,0.34,4.0,
1h,DL,2.0,pullback_from_new_high_pct,Low25,42,0.30952380952380953,,0.5691832435115971
1h,DL,2.0,pullback_from_new_high_pct,High25,42,0.2619047619047619,1.1014392904726997,
1h,DL,2.0,dist_to_sma80_pct,Low25,42,0.30952380952380953,,1.0740263100200154
1h,DL,2.0,dist_to_sma80_pct,High25,42,0.2619047619047619,3.009155268245041,
1h,DL,2.0,atr_pct,Low25,42,0.2857142857142857,,0.4893093004597936
1h,DL,2.0,atr_pct,High25,42,0.23809523809523808,0.8201986696559934,
1h,DL,2.0,clv,Low25,42,0.23809523809523808,,0.2745552431639413
1h,DL,2.0,clv,High25,42,0.2619047619047619,0.597491039299956,
1h,DL,2.0,lower_wick_pct,Low25,42,0.23809523809523808,,27.455524316394133
1h,DL,2.0,lower_wick_pct,High25,42,0.2619047619047619,59.74910392999559,
1h,DL,2.0,pos_in_range_n,Low25,42,0.38095238095238093,,0.6876489073270065
1h,DL,2.0,pos_in_range_n,High25,42,0.30952380952380953,0.8175202998989359,
1h,DL,2.0,ret_5_pct,Low25,42,0.3333333333333333,,0.13258589823437195
1h,DL,2.0,ret_5_pct,High25,42,0.38095238095238093,0.6284438898363831,
1h,DL,2.0,vol_z,Low25,42,0.16666666666666666,,-0.6519505291464325
1h,DL,2.0,vol_z,High25,42,0.38095238095238093,0.2374924179318037,
1h,PFR,2.0,ALL,ALL,257,0.33073929961089493,,
1h,PFR,2.0,slope_strength,Low25,65,0.35384615384615387,,27.549999999995634
1h,PFR,2.0,slope_strength,High25,65,0.3384615384615385,116.80000000000291,
1h,PFR,2.0,bars_since_new_high,Low25,91,0.3516483516483517,,2.0
1h,PFR,2.0,bars_since_new_high,High25,65,0.38461538461538464,15.0,
1h,PFR,2.0,pullback_from_new_high_pct,Low25,65,0.35384615384615387,,0.3655719594255322
1h,PFR,2.0,pullback_from_new_high_pct,High25,65,0.36923076923076925,1.006856512612166,
1h,PFR,2.0,dist_to_sma80_pct,Low25,65,0.2923076923076923,,0.881452579598638
1h,PFR,2.0,dist_to_sma80_pct,High25,65,0.3230769230769231,2.760763420494511,
1h,PFR,2.0,atr_pct,Low25,65,0.38461538461538464,,0.4315465146863663
1h,PFR,2.0,atr_pct,High25,65,0.36923076923076925,0.7663827468769956,
1h,PFR,2.0,clv,Low25,65,0.3230769230769231,,0.7249515190691551
1h,PFR,2.0,clv,High25,65,0.3384615384615385,0.9172385950746862,
1h,PFR,2.0,lower_wick_pct,Low25,65,0.38461538461538464,,26.172090457804988
1h,PFR,2.0,lower_wick_pct,High25,65,0.3076923076923077,55.92823712948418,
1h,PFR,2.0,pos_in_range_n,Low25,65,0.2923076923076923,,0.7004483789376845
1h,PFR,2.0,pos_in_range_n,High25,65,0.47692307692307695,0.8729830368225072,
1h,PFR,2.0,ret_5_pct,Low25,65,0.3076923076923077,,0.15187630711344102
1h,PFR,2.0,ret_5_pct,High25,65,0.4,0.7448611670574978,
1h,PFR,2.0,vol_z,Low25,65,0.27692307692307694,,-0.5896431360977697
1h,PFR,2.0,vol_z,High25,65,0.4461538461538462,0.6742126388779248,
2h,8.2,2.0,ALL,ALL,110,0.34545454545454546,,
2h,8.2,2.0,slope_strength,Low25,28,0.2857142857142857,,72.49062500000127
2h,8.2,2.0,slope_strength,High25,28,0.39285714285714285,199.10312499999418,
2h,8.2,2.0,bars_since_new_high,Low25,49,0.32653061224489793,,1.0
2h,8.2,2.0,bars_since_new_high,High25,33,0.42424242424242425,3.0,
2h,8.2,2.0,pullback_from_new_high_pct,Low25,28,0.2857142857142857,,0.8554920563171672
2h,8.2,2.0,pullback_from_new_high_pct,High25,28,0.35714285714285715,1.5285540750191624,
2h,8.2,2.0,dist_to_sma80_pct,Low25,28,0.21428571428571427,,1.4707616836464217
2h,8.2,2.0,dist_to_sma80_pct,High25,28,0.4642857142857143,4.277378015293063,
2h,8.2,2.0,atr_pct,Low25,28,0.39285714285714285,,0.7008482337753444
2h,8.2,2.0,atr_pct,High25,28,0.39285714285714285,1.1177818707258682,
2h,8.2,2.0,clv,Low25,28,0.42857142857142855,,0.1251792407609962
2h,8.2,2.0,clv,High25,28,0.39285714285714285,0.37921429262031814,
2h,8.2,2.0,lower_wick_pct,Low25,28,0.42857142857142855,,12.51792407609962
2h,8.2,2.0,lower_wick_pct,High25,28,0.39285714285714285,37.921429262031815,
2h,8.2,2.0,pos_in_range_n,Low25,28,0.39285714285714285,,0.6587453412196115
2h,8.2,2.0,pos_in_range_n,High25,28,0.39285714285714285,0.8099169957410507,
2h,8.2,2.0,ret_5_pct,Low25,28,0.21428571428571427,,0.38917424451236915
2h,8.2,2.0,ret_5_pct,High25,28,0.42857142857142855,1.3925286977233442,
2h,8.2,2.0,vol_z,Low25,28,0.4642857142857143,,-0.7779071486738486
2h,8.2,2.0,vol_z,High25,28,0.32142857142857145,0.40156659750661844,
2h,8.3,2.0,ALL,ALL,332,0.28012048192771083,,
2h,8.3,2.0,slope_strength,Low25,83,0.20481927710843373,,59.99999999999636
2h,8.3,2.0,slope_strength,High25,83,0.30120481927710846,205.8468750000029,
2h,8.3,2.0,bars_since_new_high,Low25,87,0.3103448275862069,,1.0
2h,8.3,2.0,bars_since_new_high,High25,99,0.30303030303030304,4.0,
2h,8.3,2.0,pullback_from_new_high_pct,Low25,83,0.3373493975903614,,0.6564817048470182
2h,8.3,2.0,pullback_from_new_high_pct,High25,83,0.25301204819277107,1.4901562443419412,
2h,8.3,2.0,dist_to_sma80_pct,Low25,83,0.2289156626506024,,1.6492669945981973
2h,8.3,2.0,dist_to_sma80_pct,High25,83,0.24096385542168675,4.936173749793239,
2h,8.3,2.0,atr_pct,Low25,83,0.2891566265060241,,0.7029130015104171
2h,8.3,2.0,atr_pct,High25,83,0.27710843373493976,1.1633093584215337,
2h,8.3,2.0,clv,Low25,83,0.2891566265060241,,0.30858215338456807
2h,8.3,2.0,clv,High25,83,0.30120481927710846,0.7198470030623766,
2h,8.3,2.0,lower_wick_pct,Low25,83,0.37349397590361444,,18.393274633630817
2h,8.3,2.0,lower_wick_pct,High25,83,0.3132530120481928,52.3188674863231,
2h,8.3,2.0,pos_in_range_n,Low25,83,0.3132530120481928,,0.6951453268356688
2h,8.3,2.0,pos_in_range_n,High25,83,0.3493975903614458,0.8468431324706951,
2h,8.3,2.0,ret_5_pct,Low25,83,0.1927710843373494,,0.26658421455368897
2h,8.3,2.0,ret_5_pct,High25,83,0.25301204819277107,1.4619855842889773,
2h,8.3,2.0,vol_z,Low25,83,0.25301204819277107,,-0.7945491936904346
2h,8.3,2.0,vol_z,High25,83,0.26506024096385544,0.09755447308959928,
2h,DL,2.0,ALL,ALL,91,0.25274725274725274,,
2h,DL,2.0,slope_strength,Low25,23,0.30434782608695654,,57.16250000000218
2h,DL,2.0,slope_strength,High25,23,0.30434782608695654,226.29375000000073,
2h,DL,2.0,bars_since_new_high,Low25,26,0.34615384615384615,,1.0
2h,DL,2.0,bars_since_new_high,High25,44,0.25,3.0,
2h,DL,2.0,pullback_from_new_high_pct,Low25,23,0.391304347826087,,0.8729468186142035
2h,DL,2.0,pullback_from_new_high_pct,High25,23,0.08695652173913043,1.4081302204489323,
2h,DL,2.0,dist_to_sma80_pct,Low25,23,0.17391304347826086,,1.6033802212666304
2h,DL,2.0,dist_to_sma80_pct,High25,23,0.13043478260869565,4.670207910712663,
2h,DL,2.0,atr_pct,Low25,23,0.391304347826087,,0.7304263928834723
2h,DL,2.0,atr_pct,High25,23,0.21739130434782608,1.1397585492952795,
2h,DL,2.0,clv,Low25,23,0.17391304347826086,,0.3198665485653849
2h,DL,2.0,clv,High25,23,0.34782608695652173,0.649732160009551,
2h,DL,2.0,lower_wick_pct,Low25,23,0.17391304347826086,,31.986654856538486
2h,DL,2.0,lower_wick_pct,High25,23,0.34782608695652173,64.97321600095509,
2h,DL,2.0,pos_in_range_n,Low25,23,0.34782608695652173,,0.6984911284728287
2h,DL,2.0,pos_in_range_n,High25,23,0.2608695652173913,0.830361301883868,
2h,DL,2.0,ret_5_pct,Low25,23,0.13043478260869565,,0.20027781852330895
2h,DL,2.0,ret_5_pct,High25,23,0.391304347826087,1.0509140586447807,
2h,DL,2.0,vol_z,Low25,23,0.21739130434782608,,-0.7835945502372966
2h,DL,2.0,vol_z,High25,23,0.34782608695652173,0.25767891434242324,
2h,PFR,2.0,ALL,ALL,141,0.3829787234042553,,
2h,PFR,2.0,slope_strength,Low25,36,0.3888888888888889,,44.98749999999927
2h,PFR,2.0,slope_strength,High25,36,0.3333333333333333,187.0625,
2h,PFR,2.0,bars_since_new_high,Low25,54,0.37037037037037035,,2.0
2h,PFR,2.0,bars_since_new_high,High25,36,0.3611111111111111,11.0,
2h,PFR,2.0,pullback_from_new_high_pct,Low25,36,0.4444444444444444,,0.4802728544098127
2h,PFR,2.0,pullback_from_new_high_pct,High25,36,0.3611111111111111,1.5412074680567898,
2h,PFR,2.0,dist_to_sma80_pct,Low25,36,0.3611111111111111,,1.2821600391632877
2h,PFR,2.0,dist_to_sma80_pct,High25,36,0.3333333333333333,4.554738433554354,
2h,PFR,2.0,atr_pct,Low25,36,0.4722222222222222,,0.673947220234081
2h,PFR,2.0,atr_pct,High25,36,0.3333333333333333,1.0966035310280502,
2h,PFR,2.0,clv,Low25,36,0.3333333333333333,,0.7134285280267385
2h,PFR,2.0,clv,High25,36,0.3611111111111111,0.908038976857478,
2h,PFR,2.0,lower_wick_pct,Low25,36,0.3333333333333333,,26.179736294240115
2h,PFR,2.0,lower_wick_pct,High25,36,0.5,62.965340179718424,
2h,PFR,2.0,pos_in_range_n,Low25,36,0.25,,0.6922929263844901
2h,PFR,2.0,pos_in_range_n,High25,36,0.2777777777777778,0.8756089129136674,
2h,PFR,2.0,ret_5_pct,Low25,36,0.3611111111111111,,0.1508468740264668
2h,PFR,2.0,ret_5_pct,High25,36,0.3611111111111111,1.2026270845784115,
2h,PFR,2.0,vol_z,Low25,36,0.3611111111111111,,-0.6291208016685599
2h,PFR,2.0,vol_z,High25,36,0.4166666666666667,1.0909003104015562,
4h,8.2,2.0,ALL,ALL,70,0.3,,
4h,8.2,2.0,slope_strength,Low25,18,0.3333333333333333,,92.76250000000255
