Symbol,ExitProfile,FilterCfg,Train Trades,Test Trades,Eligible,Train WR 1,Train AvgR 1,Test WR 1,Test AvgR 1,Train WR 1.5,Train AvgR 1.5,Test WR 1.5,Test AvgR 1.5,Train WR 2,Train AvgR 2,Test WR 2,Test AvgR 2,Train WR 3,Train AvgR 3,Test WR 3,Test AvgR 3
ETH_USDT,E10,a0_b1_c0,234,101,True,0.5213675213675214,0.05303238404213229,0.5643564356435643,0.1322874083255084,0.4188034188034188,0.06406539152204178,0.43564356435643564,0.12484798637449296,0.3247863247863248,0.011226455527551348,0.3564356435643564,0.13380136992480723,0.23076923076923078,-0.006108200787603831,0.2376237623762376,0.03564174397549335
ETH_USDT,E00,a0_b1_c0,234,101,True,0.5213675213675214,0.042735042735042736,0.5643564356435643,0.12871287128712872,0.4188034188034188,0.04700854700854701,0.43564356435643564,0.0891089108910891,0.3247863247863248,-0.02564102564102564,0.3564356435643564,0.06930693069306931,0.23076923076923078,-0.07692307692307693,0.2376237623762376,-0.04950495049504951
ETH_USDT,E10,a0_b0_c0,481,206,True,0.5301455301455301,0.07299330338869525,0.5242718446601942,0.055268810389973624,0.446985446985447,0.13718876411505668,0.4077669902912621,0.057425020575418796,0.35550935550935553,0.11437509399232262,0.33495145631067963,0.06920218935931456,0.26403326403326405,0.17534363104035589,0.21844660194174756,0.014684373513729579
ETH_USDT,E00,a0_b0_c0,481,206,True,0.5301455301455301,0.060291060291060294,0.5242718446601942,0.04854368932038835,0.446985446985447,0.11746361746361747,0.4077669902912621,0.019417475728155338,0.35550935550935553,0.06652806652806653,0.33495145631067963,0.0048543689320388345,0.26403326403326405,0.056133056133056136,0.21844660194174756,-0.1262135922330097
ETH_USDT,E11,a0_b1_c0,234,101,True,0.44871794871794873,0.06157939258914084,0.504950495049505,0.1421883984245183,0.3803418803418803,0.1003901778468281,0.31683168316831684,0.0110541091930096,0.29914529914529914,0.0572943177513057,0.26732673267326734,0.017634137273643505,0.21794871794871795,0.015595947550130178,0.2376237623762376,0.13465164496559234
ETH_USDT,E01,a0_b1_c0,234,101,True,0.44871794871794873,0.05128205128205128,0.504950495049505,0.13861386138613863,0.3803418803418803,0.08333333333333333,0.31683168316831684,-0.009900990099009901,0.29914529914529914,0.021367521367521368,0.26732673267326734,-0.0297029702970297,0.21794871794871795,-0.03418803418803419,0.2376237623762376,0.04950495049504951
ETH_USDT,E11,a0_b0_c0,481,206,True,0.44282744282744285,0.0715375839207047,0.441747572815534,0.050414441457934785,0.4074844074844075,0.14862327554956808,0.3106796116504854,-0.01423819117800945,0.32432432432432434,0.13813261855096187,0.27184466019417475,0.011177865391309612,0.2515592515592516,0.1854435128442379,0.21359223300970873,0.06704580299518613
ETH_USDT,E01,a0_b0_c0,481,206,True,0.44282744282744285,0.06652806652806653,0.441747572815534,0.043689320388349516,0.4074844074844075,0.1288981288981289,0.3106796116504854,-0.038834951456310676,0.32432432432432434,0.0997920997920998,0.27184466019417475,-0.043689320388349516,0.2515592515592516,0.0893970893970894,0.21359223300970873,-0.05339805825242718
ETH_USDT,E10,a1_b1_c0,109,47,False,0.47706422018348627,-0.045871559633027525,0.5957446808510638,0.19148936170212766,0.3761467889908257,-0.05963302752293578,0.46808510638297873,0.20198258713467696,0.30275229357798167,-0.06652743165080025,0.3404255319148936,0.09459983686678378,0.21100917431192662,-0.08559872257767875,0.23404255319148937,0.009493453888060367
ETH_USDT,E00,a1_b1_c0,109,47,False,0.47706422018348627,-0.045871559633027525,0.5957446808510638,0.19148936170212766,0.3761467889908257,-0.05963302752293578,0.46808510638297873,0.1702127659574468,0.30275229357798167,-0.09174311926605505,0.3404255319148936,0.02127659574468085,0.21100917431192662,-0.1559633027522936,0.23404255319148937,-0.06382978723404255
