RankRR,Symbol,ExitProfile,FilterCfg,Train Trades,Test Trades,Eligible,Train WR 1,Train AvgR 1,Test WR 1,Test AvgR 1,Train WR 1.5,Train AvgR 1.5,Test WR 1.5,Test AvgR 1.5,Train WR 2,Train AvgR 2,Test WR 2,Test AvgR 2,Train WR 3,Train AvgR 3,Test WR 3,Test AvgR 3
1.5,BTC_USDT,E00,a0_b1_c0,264,113,True,0.49242424242424243,-0.015151515151515152,0.5575221238938053,0.11504424778761062,0.38257575757575757,-0.043560606060606064,0.4778761061946903,0.19469026548672566,0.3333333333333333,0.0,0.39823008849557523,0.19469026548672566,0.24242424242424243,-0.030303030303030304,0.2920353982300885,0.168141592920354
1.5,BTC_USDT,E01,a0_b1_c0,264,113,True,0.3977272727272727,-0.041666666666666664,0.5132743362831859,0.13274336283185842,0.3560606060606061,0.011363636363636364,0.4424778761061947,0.21238938053097345,0.2916666666666667,-0.007575757575757576,0.37168141592920356,0.23893805309734514,0.21212121212121213,-0.056818181818181816,0.26548672566371684,0.1592920353982301
1.5,BTC_USDT,E10,a0_b1_c0,264,113,True,0.49242424242424243,-0.003228413002365992,0.5575221238938053,0.11504424778761062,0.38257575757575757,-0.017987250256856834,0.4778761061946903,0.21924662715135906,0.3333333333333333,0.025573355803749226,0.39823008849557523,0.2561431594050467,0.24242424242424243,0.059148056618722425,0.2920353982300885,0.27132784204101995
1.5,BTC_USDT,E11,a0_b1_c0,264,113,True,0.3977272727272727,-0.041666666666666664,0.5132743362831859,0.13274336283185842,0.3560606060606061,0.031245847679397396,0.4424778761061947,0.22805737760300027,0.2916666666666667,0.012306453740003458,0.37168141592920356,0.25460605016937193,0.21212121212121213,0.01406290767409521,0.26548672566371684,0.26247828451889604
1.5,ETH_USDT,E00,a0_b1_c0,234,101,True,0.5213675213675214,0.042735042735042736,0.5643564356435643,0.12871287128712872,0.4188034188034188,0.04700854700854701,0.43564356435643564,0.0891089108910891,0.3247863247863248,-0.02564102564102564,0.3564356435643564,0.06930693069306931,0.23076923076923078,-0.07692307692307693,0.2376237623762376,-0.04950495049504951
1.5,ETH_USDT,E01,a0_b1_c0,234,101,True,0.44871794871794873,0.05128205128205128,0.504950495049505,0.13861386138613863,0.3803418803418803,0.08333333333333333,0.31683168316831684,-0.009900990099009901,0.29914529914529914,0.021367521367521368,0.26732673267326734,-0.0297029702970297,0.21794871794871795,-0.03418803418803419,0.2376237623762376,0.04950495049504951
1.5,ETH_USDT,E10,a0_b1_c0,234,101,True,0.5213675213675214,0.05303238404213229,0.5643564356435643,0.1322874083255084,0.4188034188034188,0.06406539152204178,0.43564356435643564,0.12484798637449296,0.3247863247863248,0.011226455527551348,0.3564356435643564,0.13380136992480723,0.23076923076923078,-0.006108200787603831,0.2376237623762376,0.03564174397549335
1.5,ETH_USDT,E11,a0_b1_c0,234,101,True,0.44871794871794873,0.06157939258914084,0.504950495049505,0.1421883984245183,0.3803418803418803,0.1003901778468281,0.31683168316831684,0.0110541091930096,0.29914529914529914,0.0572943177513057,0.26732673267326734,0.017634137273643505,0.21794871794871795,0.015595947550130178,0.2376237623762376,0.13465164496559234
1.5,SOL_USDT,E00,a0_b0_c0,511,219,True,0.5146771037181996,0.029354207436399216,0.502283105022831,0.0045662100456621,0.4090019569471624,0.022504892367906065,0.410958904109589,0.0273972602739726,0.34833659491193736,0.04500978473581213,0.3378995433789954,0.0136986301369863,0.26614481409001955,0.06457925636007827,0.2557077625570776,0.0228310502283105
1.5,SOL_USDT,E01,a0_b0_c0,511,219,True,0.43052837573385516,0.0273972602739726,0.4018264840182648,-0.0319634703196347,0.350293542074364,0.018590998043052837,0.3561643835616438,0.0182648401826484,0.299412915851272,0.01761252446183953,0.3059360730593607,0.0273972602739726,0.2446183953033268,0.05675146771037182,0.2328767123287671,0.0136986301369863
1.5,SOL_USDT,E10,a0_b0_c0,511,219,True,0.5146771037181996,0.04071046475093165,0.502283105022831,0.0045662100456621,0.4090019569471624,0.04148774807470327,0.410958904109589,0.050981088166375255,0.34833659491193736,0.07768448545266864,0.3378995433789954,0.06348904966590203,0.26614481409001955,0.14506669065572197,0.2557077625570776,0.09547777060412564
1.5,SOL_USDT,E11,a0_b0_c0,511,219,True,0.43052837573385516,0.0350741749633535,0.4018264840182648,-0.0319634703196347,0.350293542074364,0.03393520959906764,0.3561643835616438,0.024631053472114573,0.299412915851272,0.04038062430887877,0.3059360730593607,0.05098108816637526,0.2446183953033268,0.13507231310836637,0.2328767123287671,0.07775639378327832
