Config,TF,Setup,Trades,WR 1.0,AvgR 1.0,WR 1.5,AvgR 1.5,WR 2.0,AvgR 2.0
htf,1h,8.3,234,52.6%,0.05,41.9%,0.05,37.2%,0.12
htf,1h,DL,41,46.3%,-0.07,34.1%,-0.15,26.8%,-0.20
htf,1h,PFR,78,59.0%,0.18,43.6%,0.09,34.6%,0.04
htf,2h,8.2,51,49.0%,-0.02,43.1%,0.08,39.2%,0.18
htf,2h,8.3,168,40.5%,-0.19,32.1%,-0.20,30.4%,-0.09
htf,2h,DL,34,26.5%,-0.47,20.6%,-0.49,20.6%,-0.38
htf,2h,PFR,46,58.7%,0.17,47.8%,0.20,43.5%,0.30
htf,4h,8.2,20,30.0%,-0.40,25.0%,-0.38,25.0%,-0.25
htf,4h,8.3,45,35.6%,-0.29,31.1%,-0.22,28.9%,-0.13
htf,4h,DL,13,30.8%,-0.38,23.1%,-0.42,23.1%,-0.31
htf,4h,PFR,22,45.5%,-0.09,36.4%,-0.09,36.4%,0.09
stretch,1d,8.2,3,33.3%,-0.33,33.3%,-0.17,33.3%,0.00
stretch,1d,8.3,4,25.0%,-0.50,25.0%,-0.38,25.0%,-0.25
stretch,1d,PFR,2,50.0%,0.00,50.0%,0.25,50.0%,0.50
stretch,1h,8.2,204,42.6%,-0.15,34.8%,-0.13,30.9%,-0.07
stretch,1h,8.3,402,48.3%,-0.03,38.6%,-0.04,34.3%,0.03
stretch,1h,DL,86,44.2%,-0.12,36.0%,-0.10,29.1%,-0.13
stretch,1h,PFR,174,49.4%,-0.01,36.8%,-0.08,30.5%,-0.09
stretch,2h,8.2,74,40.5%,-0.19,33.8%,-0.16,31.1%,-0.07
stretch,2h,8.3,216,42.1%,-0.16,34.3%,-0.14,29.6%,-0.11
stretch,2h,DL,42,28.6%,-0.43,23.8%,-0.40,21.4%,-0.36
stretch,2h,PFR,70,58.6%,0.17,52.9%,0.32,42.9%,0.29
stretch,4h,8.2,38,36.8%,-0.26,34.2%,-0.14,34.2%,0.03
stretch,4h,8.3,79,36.7%,-0.27,31.6%,-0.21,29.1%,-0.13
stretch,4h,DL,16,31.2%,-0.38,31.2%,-0.22,31.2%,-0.06
