symbol,filter_cfg,exit_profile,setup,signal_ts,fill_ts,entry,stop,risk,use_8_80,use_9,use_20_200,use_time_exit,use_breakeven,hit_1,exit_type_1,R_1,exit_ts_1,hit_1.5,exit_type_1.5,R_1.5,exit_ts_1.5,hit_2,exit_type_2,R_2,exit_ts_2,hit_3,exit_type_3,R_3,exit_ts_3
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-13 16:00:00+00:00,2020-09-13 20:00:00+00:00,364.181578,353.46842200000003,10.71315599999997,False,False,False,False,False,True,target,1.0,2020-09-14 12:00:00+00:00,True,target,1.5,2020-09-14 12:00:00+00:00,True,target,2.0,2020-09-17 16:00:00+00:00,False,stop,-1.0,2020-09-21 08:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-19 08:00:00+00:00,2020-09-19 12:00:00+00:00,388.181578,377.068422,11.113156000000004,False,False,False,False,False,False,stop,-1.0,2020-09-20 12:00:00+00:00,False,stop,-1.0,2020-09-20 12:00:00+00:00,False,stop,-1.0,2020-09-20 12:00:00+00:00,False,stop,-1.0,2020-09-20 12:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-25 08:00:00+00:00,2020-09-25 12:00:00+00:00,345.28157799999997,337.26842200000004,8.013155999999924,False,False,False,False,False,True,target,1.0,2020-09-25 16:00:00+00:00,True,target,1.5,2020-09-25 20:00:00+00:00,True,target,2.0,2020-09-27 00:00:00+00:00,True,target,3.0,2020-10-01 08:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-26 08:00:00+00:00,2020-09-26 12:00:00+00:00,353.381578,347.418422,5.9631559999999695,False,False,False,False,False,False,stop,-1.0,2020-09-26 12:00:00+00:00,False,stop,-1.0,2020-09-26 12:00:00+00:00,False,stop,-1.0,2020-09-26 12:00:00+00:00,False,stop,-1.0,2020-09-26 12:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-26 12:00:00+00:00,2020-09-26 16:00:00+00:00,355.23157799999996,345.818422,9.413155999999958,False,False,False,False,False,True,target,1.0,2020-09-28 12:00:00+00:00,True,target,1.5,2020-10-01 08:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-27 12:00:00+00:00,2020-09-27 16:00:00+00:00,357.23157799999996,347.068422,10.163155999999958,False,False,False,False,False,True,target,1.0,2020-09-28 16:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-29 04:00:00+00:00,2020-09-29 08:00:00+00:00,356.431578,350.26842200000004,6.163155999999958,False,False,False,False,False,True,target,1.0,2020-10-01 00:00:00+00:00,True,target,1.5,2020-10-01 08:00:00+00:00,True,target,2.0,2020-10-01 08:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-29 16:00:00+00:00,2020-09-29 20:00:00+00:00,357.73157799999996,351.71842200000003,6.013155999999924,False,False,False,False,False,False,stop,-1.0,2020-09-30 12:00:00+00:00,False,stop,-1.0,2020-09-30 12:00:00+00:00,False,stop,-1.0,2020-09-30 12:00:00+00:00,False,stop,-1.0,2020-09-30 12:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-09-30 12:00:00+00:00,2020-09-30 16:00:00+00:00,358.181578,351.368422,6.813155999999992,False,False,False,False,False,True,target,1.0,2020-10-01 08:00:00+00:00,True,target,1.5,2020-10-01 08:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00,False,stop,-1.0,2020-10-01 16:00:00+00:00
ETH_USDT,a0_b0_c0,E00,PFR,2020-10-08 08:00:00+00:00,2020-10-08 12:00:00+00:00,339.631578,333.71842200000003,5.913155999999958,False,False,False,False,False,True,target,1.0,2020-10-08 12:00:00+00:00,True,target,1.5,2020-10-08 12:00:00+00:00,True,target,2.0,2020-10-08 16:00:00+00:00,True,target,3.0,2020-10-09 08:00:00+00:00
