timeframe,setup,rr_1.0,rr_1.5,rr_2.0
4h,8.3,loss,loss,loss
4h,8.2,win,win,win
4h,8.3,win,win,win
4h,8.2,win,win,win
4h,8.3,win,win,win
4h,8.2,loss,loss,loss
4h,DL,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,win,win,win
4h,PFR,loss,loss,loss
4h,PFR,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.3,win,loss,loss
4h,8.2,win,loss,loss
4h,8.3,win,win,win
4h,PFR,win,win,win
4h,8.3,win,loss,loss
4h,DL,win,loss,loss
4h,PFR,loss,loss,loss
4h,PFR,loss,loss,loss
4h,PFR,win,win,win
4h,8.3,loss,loss,loss
4h,8.3,win,win,win
4h,PFR,win,win,win
4h,8.3,win,win,win
4h,8.3,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,PFR,loss,loss,loss
4h,DL,loss,loss,loss
4h,8.2,loss,loss,loss
4h,PFR,loss,loss,loss
4h,DL,win,win,win
4h,8.2,win,win,win
4h,8.3,win,win,win
4h,8.2,loss,loss,loss
4h,8.3,win,win,win
4h,PFR,win,win,win
4h,8.3,loss,loss,loss
4h,PFR,win,loss,loss
4h,DL,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,loss,loss,loss
4h,PFR,loss,loss,loss
4h,8.3,win,win,win
4h,PFR,win,win,win
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,DL,loss,loss,loss
4h,DL,win,win,win
4h,8.3,win,win,win
4h,8.3,win,loss,loss
4h,8.3,loss,loss,loss
4h,8.3,loss,loss,loss
4h,DL,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,PFR,win,win,loss
4h,8.3,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,win,win,win
4h,8.3,loss,loss,loss
4h,DL,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,PFR,win,win,win
4h,8.3,loss,loss,loss
4h,8.2,win,win,win
4h,8.2,loss,loss,loss
4h,8.2,loss,loss,loss
4h,PFR,loss,loss,loss
4h,8.2,win,win,win
4h,DL,loss,loss,loss
4h,8.3,loss,loss,loss
4h,DL,win,win,win
4h,8.3,win,win,win
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,PFR,win,win,win
4h,DL,win,win,win
4h,8.2,win,win,win
4h,PFR,loss,loss,loss
4h,8.3,loss,loss,loss
4h,DL,win,win,win
4h,8.2,loss,loss,loss
4h,8.3,loss,loss,loss
4h,PFR,win,win,loss
4h,PFR,win,win,win
4h,8.3,win,win,win
4h,8.3,loss,loss,loss
1d,8.3,loss,loss,loss
1d,8.2,loss,loss,loss
1d,8.3,loss,loss,loss
1d,PFR,loss,loss,loss
1d,8.2,win,win,win
1d,8.3,win,win,win
1d,PFR,loss,loss,loss
1d,8.3,loss,loss,loss
1d,DL,loss,loss,loss
1d,8.2,loss,loss,loss
1d,8.3,loss,loss,loss
1d,8.2,loss,loss,loss
1d,8.3,loss,loss,loss
1d,PFR,win,win,win
1d,PFR,win,win,win
1d,8.3,win,win,win
1d,DL,loss,loss,loss
1d,8.2,loss,loss,loss
1d,PFR,loss,loss,loss
1d,8.2,loss,loss,loss
1d,PFR,win,win,win
1d,8.2,win,win,win
1d,PFR,win,win,win
1d,8.3,win,win,win
1d,DL,loss,loss,loss
1d,8.2,loss,loss,loss
1d,PFR,loss,loss,loss
1d,8.3,loss,loss,loss
