ts,open,high,low,close,volume
2020-06-05 00:00:00+00:00,242.7,243.15,242.2,243.1,73450.0
2020-06-05 04:00:00+00:00,243.1,244.4,242.25,243.55,399927.0
2020-06-05 08:00:00+00:00,243.55,247.9,241.15,243.15,429817.0
2020-06-05 12:00:00+00:00,243.15,243.4,239.1,241.8,413123.0
2020-06-05 16:00:00+00:00,241.8,242.8,241.05,242.05,395206.0
2020-06-05 20:00:00+00:00,242.05,242.45,239.45,239.85,413410.0
2020-06-06 00:00:00+00:00,239.85,241.2,237.8,240.55,1233646.0
2020-06-06 04:00:00+00:00,240.55,241.35,239.2,240.15,416207.0
2020-06-06 08:00:00+00:00,240.15,243.8,239.5,243.4,411853.0
2020-06-06 12:00:00+00:00,243.4,244.75,241.3,242.35,528862.0
2020-06-06 16:00:00+00:00,242.35,243.45,239.55,241.3,722235.0
2020-06-06 20:00:00+00:00,241.3,243.2,240.95,242.55,863266.0
2020-06-07 00:00:00+00:00,242.55,244.2,240.3,242.95,1220407.0
2020-06-07 04:00:00+00:00,242.95,243.7,241.55,242.35,919075.0
2020-06-07 08:00:00+00:00,242.35,242.65,238.55,238.85,855644.0
2020-06-07 12:00:00+00:00,238.85,240.1,235.1,237.4,806609.0
2020-06-07 16:00:00+00:00,237.4,242.6,235.15,242.1,837304.0
2020-06-07 20:00:00+00:00,242.1,245.3,241.0,244.65,878739.0
2020-06-08 00:00:00+00:00,244.65,245.5,243.0,244.1,1120783.0
2020-06-08 04:00:00+00:00,244.1,244.75,243.35,243.75,1268881.0
2020-06-08 08:00:00+00:00,243.75,244.55,242.7,243.65,1510567.0
2020-06-08 12:00:00+00:00,243.65,243.85,240.95,243.0,1038852.0
2020-06-08 16:00:00+00:00,243.0,243.3,241.5,242.15,919453.0
2020-06-08 20:00:00+00:00,242.15,247.75,241.9,246.55,1295926.0
2020-06-09 00:00:00+00:00,246.55,249.8,238.85,243.1,5771512.0
2020-06-09 04:00:00+00:00,243.1,244.2,242.5,243.3,701688.0
2020-06-09 08:00:00+00:00,243.3,243.75,241.3,243.3,870867.0
2020-06-09 12:00:00+00:00,243.3,244.65,242.5,243.3,868098.0
