timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate,win_rate_pct
1h,DL,1.0,ma_gap_pct,ret_3_pct,3,2,32,21,11,0.65625,"65,6%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,0,0,76,39,37,0.5131578947368421,"51,3%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,0,1,39,18,21,0.46153846153846156,"46,2%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,1,0,51,23,28,0.45098039215686275,"45,1%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,1,1,54,34,20,0.6296296296296297,63%
1h,DL,1.0,ma_gap_pct,ret_5_pct,2,2,57,28,29,0.49122807017543857,"49,1%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,2,3,53,30,23,0.5660377358490566,"56,6%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,3,2,45,19,26,0.4222222222222222,"42,2%"
1h,DL,1.0,ma_gap_pct,ret_5_pct,3,3,65,38,27,0.5846153846153846,"58,5%"
1h,DL,1.0,ma_gap_pct,rsi,0,0,87,38,49,0.4367816091954023,"43,7%"
1h,DL,1.0,ma_gap_pct,rsi,0,1,47,25,22,0.5319148936170213,"53,2%"
1h,DL,1.0,ma_gap_pct,rsi,1,0,48,27,21,0.5625,"56,2%"
1h,DL,1.0,ma_gap_pct,rsi,1,1,59,31,28,0.5254237288135594,"52,5%"
1h,DL,1.0,ma_gap_pct,rsi,2,2,59,27,32,0.4576271186440678,"45,8%"
1h,DL,1.0,ma_gap_pct,rsi,2,3,59,34,25,0.576271186440678,"57,6%"
1h,DL,1.0,ma_gap_pct,rsi,3,2,56,27,29,0.48214285714285715,"48,2%"
1h,DL,1.0,ma_gap_pct,rsi,3,3,67,35,32,0.5223880597014925,"52,2%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,0,0,83,34,49,0.40963855421686746,41%
1h,DL,1.0,ma_gap_pct,pos_in_range_n,0,1,51,29,22,0.5686274509803921,"56,9%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,1,0,52,23,29,0.4423076923076923,"44,2%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,1,1,57,37,20,0.6491228070175439,"64,9%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,2,2,61,30,31,0.4918032786885246,"49,2%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,2,3,56,28,28,0.5,50%
1h,DL,1.0,ma_gap_pct,pos_in_range_n,3,2,58,24,34,0.41379310344827586,"41,4%"
1h,DL,1.0,ma_gap_pct,pos_in_range_n,3,3,68,40,28,0.5882352941176471,"58,8%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,0,2,42,22,20,0.5238095238095238,"52,4%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,0,3,90,39,51,0.43333333333333335,"43,3%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,1,2,53,29,24,0.5471698113207547,"54,7%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,1,3,37,19,18,0.5135135135135135,"51,4%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,2,0,65,32,33,0.49230769230769234,"49,2%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,2,1,48,24,24,0.5,50%
