timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate,win_rate_pct
1h,DL,1.0,dist_to_high_n_pct,vol_z,0,3,45,30,15,0.6666666666666666,"66,7%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,1,0,35,17,18,0.4857142857142857,"48,6%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,1,1,36,10,26,0.2777777777777778,"27,8%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,1,2,33,18,15,0.5454545454545454,"54,5%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,1,3,30,17,13,0.5666666666666667,"56,7%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,2,0,36,15,21,0.4166666666666667,"41,7%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,2,1,37,21,16,0.5675675675675675,"56,8%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,2,2,33,19,14,0.5757575757575758,"57,6%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,3,0,39,18,21,0.46153846153846156,"46,2%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,3,1,34,18,16,0.5294117647058824,"52,9%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,3,2,30,14,16,0.4666666666666667,"46,7%"
1h,DL,1.0,dist_to_high_n_pct,vol_z,3,3,32,12,20,0.375,"37,5%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,0,0,37,18,19,0.4864864864864865,"48,6%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,0,2,35,18,17,0.5142857142857142,"51,4%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,0,3,36,14,22,0.3888888888888889,"38,9%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,1,0,32,22,10,0.6875,"68,8%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,1,1,42,24,18,0.5714285714285714,"57,1%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,1,2,32,21,11,0.65625,"65,6%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,2,1,37,16,21,0.43243243243243246,"43,2%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,2,2,34,15,19,0.4411764705882353,"44,1%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,2,3,35,25,10,0.7142857142857143,"71,4%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,3,0,38,14,24,0.3684210526315789,"36,8%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,3,2,33,17,16,0.5151515151515151,"51,5%"
1h,DL,1.0,dist_to_low_n_pct,vol_z,3,3,36,21,15,0.5833333333333334,"58,3%"
1h,DL,1.5,slope_strength,ma_gap_pct,0,1,47,22,25,0.46808510638297873,"46,8%"
1h,DL,1.5,slope_strength,ma_gap_pct,0,2,38,15,23,0.39473684210526316,"39,5%"
1h,DL,1.5,slope_strength,ma_gap_pct,1,1,33,11,22,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,ma_gap_pct,1,2,39,13,26,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,ma_gap_pct,1,3,34,13,21,0.38235294117647056,"38,2%"
1h,DL,1.5,slope_strength,ma_gap_pct,2,0,33,15,18,0.45454545454545453,"45,5%"
1h,DL,1.5,slope_strength,ma_gap_pct,2,1,33,14,19,0.42424242424242425,"42,4%"
1h,DL,1.5,slope_strength,ma_gap_pct,2,2,32,12,20,0.375,"37,5%"
1h,DL,1.5,slope_strength,ma_gap_pct,2,3,35,14,21,0.4,40%
1h,DL,1.5,slope_strength,ma_gap_pct,3,0,53,18,35,0.33962264150943394,34%
1h,DL,1.5,slope_strength,ma_gap_pct,3,3,36,16,20,0.4444444444444444,"44,4%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,0,1,51,24,27,0.47058823529411764,"47,1%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,0,2,41,16,25,0.3902439024390244,39%
1h,DL,1.5,slope_strength,dist_to_sma80_pct,1,1,37,10,27,0.2702702702702703,27%
1h,DL,1.5,slope_strength,dist_to_sma80_pct,1,2,36,12,24,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,1,3,35,15,20,0.42857142857142855,"42,9%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,2,0,31,12,19,0.3870967741935484,"38,7%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,2,1,33,14,19,0.42424242424242425,"42,4%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,2,2,35,15,20,0.42857142857142855,"42,9%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,2,3,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,3,0,59,21,38,0.3559322033898305,"35,6%"
1h,DL,1.5,slope_strength,dist_to_sma80_pct,3,3,41,18,23,0.43902439024390244,"43,9%"
1h,DL,1.5,slope_strength,atr_pct,0,0,63,32,31,0.5079365079365079,"50,8%"
1h,DL,1.5,slope_strength,atr_pct,0,1,34,13,21,0.38235294117647056,"38,2%"
1h,DL,1.5,slope_strength,atr_pct,1,0,34,10,24,0.29411764705882354,"29,4%"
1h,DL,1.5,slope_strength,atr_pct,1,1,40,18,22,0.45,45%
1h,DL,1.5,slope_strength,atr_pct,1,2,33,12,21,0.36363636363636365,"36,4%"
1h,DL,1.5,slope_strength,atr_pct,2,1,40,16,24,0.4,40%
1h,DL,1.5,slope_strength,atr_pct,2,2,37,13,24,0.35135135135135137,"35,1%"
1h,DL,1.5,slope_strength,atr_pct,2,3,31,13,18,0.41935483870967744,"41,9%"
1h,DL,1.5,slope_strength,atr_pct,3,2,38,17,21,0.4473684210526316,"44,7%"
1h,DL,1.5,slope_strength,atr_pct,3,3,65,22,43,0.3384615384615385,"33,8%"
1h,DL,1.5,slope_strength,clv,0,1,39,19,20,0.48717948717948717,"48,7%"
1h,DL,1.5,slope_strength,clv,0,2,34,13,21,0.38235294117647056,"38,2%"
1h,DL,1.5,slope_strength,clv,0,3,32,14,18,0.4375,"43,8%"
1h,DL,1.5,slope_strength,clv,1,0,32,8,24,0.25,25%
1h,DL,1.5,slope_strength,clv,1,1,30,12,18,0.4,40%
1h,DL,1.5,slope_strength,clv,1,2,35,14,21,0.4,40%
1h,DL,1.5,slope_strength,clv,1,3,36,14,22,0.3888888888888889,"38,9%"
1h,DL,1.5,slope_strength,clv,2,0,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,slope_strength,clv,2,1,34,16,18,0.47058823529411764,"47,1%"
1h,DL,1.5,slope_strength,clv,2,2,33,11,22,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,clv,2,3,32,14,18,0.4375,"43,8%"
1h,DL,1.5,slope_strength,clv,3,0,39,14,25,0.358974358974359,"35,9%"
1h,DL,1.5,slope_strength,clv,3,1,30,12,18,0.4,40%
1h,DL,1.5,slope_strength,clv,3,2,31,10,21,0.3225806451612903,"32,3%"
1h,DL,1.5,slope_strength,clv,3,3,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.5,slope_strength,range_pct,0,0,51,25,26,0.49019607843137253,49%
1h,DL,1.5,slope_strength,range_pct,0,1,40,17,23,0.425,"42,5%"
1h,DL,1.5,slope_strength,range_pct,1,0,40,11,29,0.275,"27,5%"
1h,DL,1.5,slope_strength,range_pct,1,1,35,14,21,0.4,40%
1h,DL,1.5,slope_strength,range_pct,1,2,32,13,19,0.40625,"40,6%"
1h,DL,1.5,slope_strength,range_pct,2,1,34,11,23,0.3235294117647059,"32,4%"
1h,DL,1.5,slope_strength,range_pct,2,2,35,16,19,0.45714285714285713,"45,7%"
1h,DL,1.5,slope_strength,range_pct,2,3,38,15,23,0.39473684210526316,"39,5%"
1h,DL,1.5,slope_strength,range_pct,3,2,39,13,26,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,range_pct,3,3,54,21,33,0.3888888888888889,"38,9%"
1h,DL,1.5,slope_strength,body_pct,0,0,36,19,17,0.5277777777777778,"52,8%"
1h,DL,1.5,slope_strength,body_pct,0,2,37,17,20,0.4594594594594595,"45,9%"
1h,DL,1.5,slope_strength,body_pct,0,3,31,10,21,0.3225806451612903,"32,3%"
1h,DL,1.5,slope_strength,body_pct,1,0,39,12,27,0.3076923076923077,"30,8%"
1h,DL,1.5,slope_strength,body_pct,1,1,37,10,27,0.2702702702702703,27%
1h,DL,1.5,slope_strength,body_pct,1,2,30,14,16,0.4666666666666667,"46,7%"
1h,DL,1.5,slope_strength,body_pct,2,1,34,17,17,0.5,50%
1h,DL,1.5,slope_strength,body_pct,2,2,37,17,20,0.4594594594594595,"45,9%"
1h,DL,1.5,slope_strength,body_pct,2,3,39,14,25,0.358974358974359,"35,9%"
1h,DL,1.5,slope_strength,body_pct,3,0,35,10,25,0.2857142857142857,"28,6%"
1h,DL,1.5,slope_strength,body_pct,3,1,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.5,slope_strength,body_pct,3,3,36,13,23,0.3611111111111111,"36,1%"
1h,DL,1.5,slope_strength,upper_wick_pct,0,0,33,11,22,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,upper_wick_pct,0,1,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.5,slope_strength,upper_wick_pct,0,2,34,17,17,0.5,50%
1h,DL,1.5,slope_strength,upper_wick_pct,0,3,33,18,15,0.5454545454545454,"54,5%"
1h,DL,1.5,slope_strength,upper_wick_pct,1,1,30,9,21,0.3,30%
1h,DL,1.5,slope_strength,upper_wick_pct,1,2,41,13,28,0.3170731707317073,"31,7%"
1h,DL,1.5,slope_strength,upper_wick_pct,1,3,33,10,23,0.30303030303030304,"30,3%"
1h,DL,1.5,slope_strength,upper_wick_pct,2,0,38,15,23,0.39473684210526316,"39,5%"
1h,DL,1.5,slope_strength,upper_wick_pct,2,1,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.5,slope_strength,upper_wick_pct,2,2,37,13,24,0.35135135135135137,"35,1%"
1h,DL,1.5,slope_strength,upper_wick_pct,3,0,33,11,22,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,upper_wick_pct,3,1,37,18,19,0.4864864864864865,"48,6%"
1h,DL,1.5,slope_strength,upper_wick_pct,3,3,42,12,30,0.2857142857142857,"28,6%"
1h,DL,1.5,slope_strength,lower_wick_pct,0,1,35,20,15,0.5714285714285714,"57,1%"
1h,DL,1.5,slope_strength,lower_wick_pct,0,2,44,17,27,0.38636363636363635,"38,6%"
1h,DL,1.5,slope_strength,lower_wick_pct,1,2,37,13,24,0.35135135135135137,"35,1%"
1h,DL,1.5,slope_strength,lower_wick_pct,1,3,40,14,26,0.35,35%
1h,DL,1.5,slope_strength,lower_wick_pct,2,0,34,16,18,0.47058823529411764,"47,1%"
1h,DL,1.5,slope_strength,lower_wick_pct,2,1,38,14,24,0.3684210526315789,"36,8%"
1h,DL,1.5,slope_strength,lower_wick_pct,2,3,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,slope_strength,lower_wick_pct,3,0,47,16,31,0.3404255319148936,34%
1h,DL,1.5,slope_strength,lower_wick_pct,3,1,31,12,19,0.3870967741935484,"38,7%"
1h,DL,1.5,slope_strength,lower_wick_pct,3,3,30,11,19,0.36666666666666664,"36,7%"
1h,DL,1.5,slope_strength,ret_1_pct,0,1,40,19,21,0.475,"47,5%"
1h,DL,1.5,slope_strength,ret_1_pct,0,2,37,19,18,0.5135135135135135,"51,4%"
1h,DL,1.5,slope_strength,ret_1_pct,1,1,42,14,28,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,ret_1_pct,1,2,40,13,27,0.325,"32,5%"
1h,DL,1.5,slope_strength,ret_1_pct,2,0,44,19,25,0.4318181818181818,"43,2%"
1h,DL,1.5,slope_strength,ret_1_pct,2,2,32,13,19,0.40625,"40,6%"
1h,DL,1.5,slope_strength,ret_1_pct,2,3,36,16,20,0.4444444444444444,"44,4%"
1h,DL,1.5,slope_strength,ret_1_pct,3,0,37,15,22,0.40540540540540543,"40,5%"
1h,DL,1.5,slope_strength,ret_1_pct,3,1,30,9,21,0.3,30%
1h,DL,1.5,slope_strength,ret_1_pct,3,3,42,15,27,0.35714285714285715,"35,7%"
1h,DL,1.5,slope_strength,ret_3_pct,0,1,46,18,28,0.391304347826087,"39,1%"
1h,DL,1.5,slope_strength,ret_3_pct,0,2,40,21,19,0.525,"52,5%"
1h,DL,1.5,slope_strength,ret_3_pct,1,0,33,12,21,0.36363636363636365,"36,4%"
1h,DL,1.5,slope_strength,ret_3_pct,1,1,34,10,24,0.29411764705882354,"29,4%"
1h,DL,1.5,slope_strength,ret_3_pct,1,2,30,12,18,0.4,40%
1h,DL,1.5,slope_strength,ret_3_pct,1,3,36,14,22,0.3888888888888889,"38,9%"
1h,DL,1.5,slope_strength,ret_3_pct,2,0,39,13,26,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,ret_3_pct,2,1,31,12,19,0.3870967741935484,"38,7%"
1h,DL,1.5,slope_strength,ret_3_pct,2,2,37,19,18,0.5135135135135135,"51,4%"
1h,DL,1.5,slope_strength,ret_3_pct,3,0,42,12,30,0.2857142857142857,"28,6%"
1h,DL,1.5,slope_strength,ret_3_pct,3,3,43,22,21,0.5116279069767442,"51,2%"
1h,DL,1.5,slope_strength,ret_5_pct,0,1,52,23,29,0.4423076923076923,"44,2%"
1h,DL,1.5,slope_strength,ret_5_pct,0,2,44,20,24,0.45454545454545453,"45,5%"
1h,DL,1.5,slope_strength,ret_5_pct,1,1,40,13,27,0.325,"32,5%"
1h,DL,1.5,slope_strength,ret_5_pct,1,2,41,13,28,0.3170731707317073,"31,7%"
1h,DL,1.5,slope_strength,ret_5_pct,1,3,30,10,20,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,ret_5_pct,2,0,43,15,28,0.3488372093023256,"34,9%"
1h,DL,1.5,slope_strength,ret_5_pct,2,2,34,10,24,0.29411764705882354,"29,4%"
1h,DL,1.5,slope_strength,ret_5_pct,2,3,32,17,15,0.53125,"53,1%"
1h,DL,1.5,slope_strength,ret_5_pct,3,0,49,20,29,0.40816326530612246,"40,8%"
1h,DL,1.5,slope_strength,ret_5_pct,3,3,53,21,32,0.39622641509433965,"39,6%"
1h,DL,1.5,slope_strength,rsi,0,1,56,29,27,0.5178571428571429,"51,8%"
1h,DL,1.5,slope_strength,rsi,0,2,33,12,21,0.36363636363636365,"36,4%"
1h,DL,1.5,slope_strength,rsi,1,0,30,9,21,0.3,30%
1h,DL,1.5,slope_strength,rsi,1,1,32,13,19,0.40625,"40,6%"
1h,DL,1.5,slope_strength,rsi,1,2,43,15,28,0.3488372093023256,"34,9%"
1h,DL,1.5,slope_strength,rsi,2,0,30,14,16,0.4666666666666667,"46,7%"
1h,DL,1.5,slope_strength,rsi,2,1,32,9,23,0.28125,"28,1%"
1h,DL,1.5,slope_strength,rsi,2,2,31,11,20,0.3548387096774194,"35,5%"
1h,DL,1.5,slope_strength,rsi,2,3,40,21,19,0.525,"52,5%"
1h,DL,1.5,slope_strength,rsi,3,0,57,20,37,0.3508771929824561,"35,1%"
1h,DL,1.5,slope_strength,rsi,3,3,37,14,23,0.3783783783783784,"37,8%"
1h,DL,1.5,slope_strength,pos_in_range_n,0,1,49,28,21,0.5714285714285714,"57,1%"
1h,DL,1.5,slope_strength,pos_in_range_n,0,2,38,14,24,0.3684210526315789,"36,8%"
1h,DL,1.5,slope_strength,pos_in_range_n,1,0,31,8,23,0.25806451612903225,"25,8%"
1h,DL,1.5,slope_strength,pos_in_range_n,1,1,33,14,19,0.42424242424242425,"42,4%"
1h,DL,1.5,slope_strength,pos_in_range_n,1,2,43,15,28,0.3488372093023256,"34,9%"
1h,DL,1.5,slope_strength,pos_in_range_n,2,0,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.5,slope_strength,pos_in_range_n,2,3,46,22,24,0.4782608695652174,"47,8%"
1h,DL,1.5,slope_strength,pos_in_range_n,3,0,47,15,32,0.3191489361702128,"31,9%"
1h,DL,1.5,slope_strength,pos_in_range_n,3,3,37,15,22,0.40540540540540543,"40,5%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,0,0,35,16,19,0.45714285714285713,"45,7%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,0,1,51,22,29,0.43137254901960786,"43,1%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,0,2,32,13,19,0.40625,"40,6%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,1,0,33,14,19,0.42424242424242425,"42,4%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,1,1,32,8,24,0.25,25%
1h,DL,1.5,slope_strength,dist_to_high_n_pct,1,2,43,20,23,0.46511627906976744,"46,5%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,2,0,37,18,19,0.4864864864864865,"48,6%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,2,1,30,11,19,0.36666666666666664,"36,7%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,2,2,35,15,20,0.42857142857142855,"42,9%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,2,3,31,11,20,0.3548387096774194,"35,5%"
1h,DL,1.5,slope_strength,dist_to_high_n_pct,3,3,62,21,41,0.3387096774193548,"33,9%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,0,0,46,23,23,0.5,50%
1h,DL,1.5,slope_strength,dist_to_low_n_pct,0,1,35,15,20,0.42857142857142855,"42,9%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,0,2,37,16,21,0.43243243243243246,"43,2%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,1,0,38,10,28,0.2631578947368421,"26,3%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,1,1,34,18,16,0.5294117647058824,"52,9%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,1,2,32,13,19,0.40625,"40,6%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,2,1,42,20,22,0.47619047619047616,"47,6%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,2,3,41,17,24,0.4146341463414634,"41,5%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,3,2,36,13,23,0.3611111111111111,"36,1%"
1h,DL,1.5,slope_strength,dist_to_low_n_pct,3,3,48,18,30,0.375,"37,5%"
1h,DL,1.5,slope_strength,vol_z,0,0,41,19,22,0.4634146341463415,"46,3%"
1h,DL,1.5,slope_strength,vol_z,0,2,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,slope_strength,vol_z,1,0,31,8,23,0.25806451612903225,"25,8%"
1h,DL,1.5,slope_strength,vol_z,1,1,38,11,27,0.2894736842105263,"28,9%"
1h,DL,1.5,slope_strength,vol_z,1,2,37,17,20,0.4594594594594595,"45,9%"
1h,DL,1.5,slope_strength,vol_z,2,0,31,9,22,0.2903225806451613,29%
1h,DL,1.5,slope_strength,vol_z,2,1,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,slope_strength,vol_z,2,3,40,18,22,0.45,45%
1h,DL,1.5,slope_strength,vol_z,3,0,30,10,20,0.3333333333333333,"33,3%"
1h,DL,1.5,slope_strength,vol_z,3,1,32,14,18,0.4375,"43,8%"
1h,DL,1.5,slope_strength,vol_z,3,2,34,11,23,0.3235294117647059,"32,4%"
1h,DL,1.5,slope_strength,vol_z,3,3,37,14,23,0.3783783783783784,"37,8%"
1h,DL,1.5,ma_gap_pct,dist_to_sma80_pct,0,0,125,48,77,0.384,"38,4%"
1h,DL,1.5,ma_gap_pct,dist_to_sma80_pct,1,1,117,47,70,0.4017094017094017,"40,2%"
1h,DL,1.5,ma_gap_pct,dist_to_sma80_pct,2,2,116,42,74,0.3620689655172414,"36,2%"
1h,DL,1.5,ma_gap_pct,dist_to_sma80_pct,3,3,124,54,70,0.43548387096774194,"43,5%"
1h,DL,1.5,ma_gap_pct,atr_pct,0,2,41,17,24,0.4146341463414634,"41,5%"
1h,DL,1.5,ma_gap_pct,atr_pct,0,3,61,21,40,0.3442622950819672,"34,4%"
1h,DL,1.5,ma_gap_pct,atr_pct,1,0,52,22,30,0.4230769230769231,"42,3%"
1h,DL,1.5,ma_gap_pct,atr_pct,1,1,38,15,23,0.39473684210526316,"39,5%"
1h,DL,1.5,ma_gap_pct,atr_pct,2,0,51,21,30,0.4117647058823529,"41,2%"
1h,DL,1.5,ma_gap_pct,atr_pct,2,1,40,14,26,0.35,35%
1h,DL,1.5,ma_gap_pct,atr_pct,3,1,35,14,21,0.4,40%
1h,DL,1.5,ma_gap_pct,atr_pct,3,2,45,17,28,0.37777777777777777,"37,8%"
1h,DL,1.5,ma_gap_pct,atr_pct,3,3,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,ma_gap_pct,clv,0,0,59,22,37,0.3728813559322034,"37,3%"
1h,DL,1.5,ma_gap_pct,clv,0,1,54,25,29,0.46296296296296297,"46,3%"
1h,DL,1.5,ma_gap_pct,clv,1,0,59,24,35,0.4067796610169492,"40,7%"
1h,DL,1.5,ma_gap_pct,clv,1,1,33,15,18,0.45454545454545453,"45,5%"
1h,DL,1.5,ma_gap_pct,clv,2,2,56,20,36,0.35714285714285715,"35,7%"
1h,DL,1.5,ma_gap_pct,clv,2,3,53,19,34,0.3584905660377358,"35,8%"
1h,DL,1.5,ma_gap_pct,clv,3,2,39,17,22,0.4358974358974359,"43,6%"
1h,DL,1.5,ma_gap_pct,clv,3,3,57,27,30,0.47368421052631576,"47,4%"
1h,DL,1.5,ma_gap_pct,range_pct,0,1,32,12,20,0.375,"37,5%"
1h,DL,1.5,ma_gap_pct,range_pct,0,2,40,15,25,0.375,"37,5%"
1h,DL,1.5,ma_gap_pct,range_pct,0,3,42,17,25,0.40476190476190477,"40,5%"
1h,DL,1.5,ma_gap_pct,range_pct,1,0,47,20,27,0.425531914893617,"42,6%"
1h,DL,1.5,ma_gap_pct,range_pct,1,1,34,17,17,0.5,50%
1h,DL,1.5,ma_gap_pct,range_pct,2,0,44,15,29,0.3409090909090909,"34,1%"
1h,DL,1.5,ma_gap_pct,range_pct,2,1,31,10,21,0.3225806451612903,"32,3%"
1h,DL,1.5,ma_gap_pct,range_pct,3,1,36,14,22,0.3888888888888889,"38,9%"
1h,DL,1.5,ma_gap_pct,range_pct,3,2,41,17,24,0.4146341463414634,"41,5%"
1h,DL,1.5,ma_gap_pct,range_pct,3,3,33,16,17,0.48484848484848486,"48,5%"
1h,DL,1.5,ma_gap_pct,body_pct,0,0,34,11,23,0.3235294117647059,"32,4%"
1h,DL,1.5,ma_gap_pct,body_pct,0,1,32,12,20,0.375,"37,5%"
1h,DL,1.5,ma_gap_pct,body_pct,0,3,38,15,23,0.39473684210526316,"39,5%"
1h,DL,1.5,ma_gap_pct,body_pct,1,1,38,17,21,0.4473684210526316,"44,7%"
1h,DL,1.5,ma_gap_pct,body_pct,1,2,33,20,13,0.6060606060606061,"60,6%"
1h,DL,1.5,ma_gap_pct,body_pct,1,3,35,6,29,0.17142857142857143,"17,1%"
1h,DL,1.5,ma_gap_pct,body_pct,2,0,38,12,26,0.3157894736842105,"31,6%"
1h,DL,1.5,ma_gap_pct,body_pct,2,1,30,10,20,0.3333333333333333,"33,3%"
1h,DL,1.5,ma_gap_pct,body_pct,2,2,35,9,26,0.2571428571428571,"25,7%"
1h,DL,1.5,ma_gap_pct,body_pct,2,3,30,17,13,0.5666666666666667,"56,7%"
1h,DL,1.5,ma_gap_pct,body_pct,3,0,34,14,20,0.4117647058823529,"41,2%"
1h,DL,1.5,ma_gap_pct,body_pct,3,1,33,14,19,0.42424242424242425,"42,4%"
1h,DL,1.5,ma_gap_pct,body_pct,3,2,36,18,18,0.5,50%
1h,DL,1.5,ma_gap_pct,body_pct,3,3,30,11,19,0.36666666666666664,"36,7%"
1h,DL,1.5,ma_gap_pct,upper_wick_pct,0,2,39,16,23,0.41025641025641024,41%
1h,DL,1.5,ma_gap_pct,upper_wick_pct,0,3,57,21,36,0.3684210526315789,"36,8%"
1h,DL,1.5,ma_gap_pct,upper_wick_pct,1,2,39,16,23,0.41025641025641024,41%
1h,DL,1.5,ma_gap_pct,upper_wick_pct,1,3,49,24,25,0.4897959183673469,49%
1h,DL,1.5,ma_gap_pct,upper_wick_pct,2,0,50,19,31,0.38,38%
1h,DL,1.5,ma_gap_pct,upper_wick_pct,2,1,40,15,25,0.375,"37,5%"
1h,DL,1.5,ma_gap_pct,upper_wick_pct,2,2,32,10,22,0.3125,"31,2%"
1h,DL,1.5,ma_gap_pct,upper_wick_pct,3,0,47,20,27,0.425531914893617,"42,6%"
1h,DL,1.5,ma_gap_pct,upper_wick_pct,3,1,47,23,24,0.48936170212765956,"48,9%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,0,0,58,24,34,0.41379310344827586,"41,4%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,0,1,40,15,25,0.375,"37,5%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,1,0,48,19,29,0.3958333333333333,"39,6%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,1,1,43,18,25,0.4186046511627907,"41,9%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,2,2,39,14,25,0.358974358974359,"35,9%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,2,3,54,15,39,0.2777777777777778,"27,8%"
1h,DL,1.5,ma_gap_pct,lower_wick_pct,3,2,45,18,27,0.4,40%
1h,DL,1.5,ma_gap_pct,lower_wick_pct,3,3,51,25,26,0.49019607843137253,49%
1h,DL,1.5,ma_gap_pct,ret_1_pct,0,0,63,28,35,0.4444444444444444,"44,4%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,0,1,31,9,22,0.2903225806451613,29%
1h,DL,1.5,ma_gap_pct,ret_1_pct,1,0,43,15,28,0.3488372093023256,"34,9%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,1,1,40,18,22,0.45,45%
1h,DL,1.5,ma_gap_pct,ret_1_pct,1,2,31,17,14,0.5483870967741935,"54,8%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,2,2,48,15,33,0.3125,"31,2%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,2,3,45,19,26,0.4222222222222222,"42,2%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,3,1,34,12,22,0.35294117647058826,"35,3%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,3,2,34,16,18,0.47058823529411764,"47,1%"
1h,DL,1.5,ma_gap_pct,ret_1_pct,3,3,50,22,28,0.44,44%
1h,DL,1.5,ma_gap_pct,ret_3_pct,0,0,37,13,24,0.35135135135135137,"35,1%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,0,3,46,23,23,0.5,50%
1h,DL,1.5,ma_gap_pct,ret_3_pct,1,1,31,9,22,0.2903225806451613,29%
1h,DL,1.5,ma_gap_pct,ret_3_pct,1,2,40,23,17,0.575,"57,5%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,1,3,34,11,23,0.3235294117647059,"32,4%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,2,1,39,10,29,0.2564102564102564,"25,6%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,2,2,36,13,23,0.3611111111111111,"36,1%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,3,0,39,10,29,0.2564102564102564,"25,6%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,3,1,38,21,17,0.5526315789473685,"55,3%"
1h,DL,1.5,ma_gap_pct,ret_3_pct,3,2,32,15,17,0.46875,"46,9%"
1h,DL,1.5,ma_gap_pct,ret_5_pct,0,0,75,34,41,0.4533333333333333,"45,3%"
1h,DL,1.5,ma_gap_pct,ret_5_pct,0,1,38,14,24,0.3684210526315789,"36,8%"
