Config,Train Trades,Test Trades,Eligible,Train WR 1,Train AvgR 1,Test WR 1,Test AvgR 1,Train WR 1.5,Train AvgR 1.5,Test WR 1.5,Test AvgR 1.5,Train WR 2,Train AvgR 2,Test WR 2,Test AvgR 2,Train WR 3,Train AvgR 3,Test WR 3,Test AvgR 3
a0_b1_c0,264,113,True,0.49242424242424243,-0.003228372609732895,0.5575221238938053,0.11504424778761062,0.38257575757575757,-0.017987132579839735,0.4778761061946903,0.219246701574492,0.3333333333333333,0.025573473480766325,0.39823008849557523,0.25614341017161635,0.24242424242424243,0.059148803183081015,0.2920353982300885,0.2713282858351859
a0_b0_c0,528,227,True,0.5056818181818182,0.019429658372575695,0.5110132158590308,0.02451483949908938,0.3977272727272727,0.019219704340283035,0.44052863436123346,0.1199884498874219,0.3333333333333333,0.03950205709549497,0.3744493392070485,0.18592329745137284,0.24242424242424243,0.0851897025571014,0.2643171806167401,0.16564357410646416
a1_b0_c1,91,39,False,0.4835164835164835,-0.03296703296703297,0.5641025641025641,0.1282051282051282,0.4175824175824176,0.04395604395604396,0.5128205128205128,0.30780484968848093,0.37362637362637363,0.13484010788757939,0.46153846153846156,0.4103689522525835,0.25274725274725274,0.11208840714434784,0.41025641025641024,0.7392687285802697
a0_b1_c1,104,45,False,0.4807692307692308,-0.038461538461538464,0.5555555555555556,0.1111111111111111,0.41346153846153844,0.03365384615384615,0.4888888888888889,0.2445419808411279,0.375,0.125,0.4444444444444444,0.35565309195223904,0.25,0.10069502413092067,0.37777777777777777,0.5962551203251226
a1_b0_c0,135,58,False,0.4740740740740741,-0.05185185185185185,0.603448275862069,0.20689655172413793,0.4074074074074074,0.018518518518518517,0.4827586206896552,0.22421360582501304,0.35555555555555557,0.0760774060575535,0.41379310344827586,0.2586963644457027,0.26666666666666666,0.13481514851952336,0.3620689655172414,0.5143358692177675
a1_b1_c0,122,52,False,0.4918032786885246,-0.01639344262295082,0.5769230769230769,0.15384615384615385,0.4180327868852459,0.045081967213114756,0.4807692307692308,0.22123825265097607,0.36885245901639346,0.10655737704918032,0.40384615384615385,0.2308536372663607,0.27049180327868855,0.14696389534726173,0.34615384615384615,0.45829770028135614
a1_b1_c1,83,36,False,0.4939759036144578,-0.012048192771084338,0.5277777777777778,0.05555555555555555,0.42168674698795183,0.05421686746987952,0.4722222222222222,0.20845525382918767,0.3855421686746988,0.1566265060240964,0.4166666666666667,0.27789969827363215,0.24096385542168675,0.09345405432705653,0.3888888888888889,0.5834552538291877
a0_b0_c1,150,65,False,0.5066666666666667,0.013333333333333334,0.5538461538461539,0.1076923076923077,0.4266666666666667,0.08096368522704286,0.47692307692307695,0.20775983289001163,0.38666666666666666,0.18276668401217436,0.4307692307692308,0.3077598328900117,0.26666666666666666,0.1802310133026736,0.35384615384615387,0.4743304679173926
