timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
1d,PFR,2.0,top10,2,1,1,0.5,50%
1d,PFR,2.0,low10,2,2,0,1.0,100%
1d,PFR,2.0,top15,3,1,2,0.3333333333333333,"33,3%"
1d,PFR,2.0,low15,3,3,0,1.0,100%
1d,PFR,2.0,top20,4,1,3,0.25,25%
1d,PFR,2.0,low20,4,3,1,0.75,75%
1d,PFR,2.0,top25,4,1,3,0.25,25%
1d,PFR,2.0,low25,4,3,1,0.75,75%
1d,PFR,2.0,top30,5,2,3,0.4,40%
1d,PFR,2.0,low30,5,4,1,0.8,80%
1h,DL,1.0,ALL,713,339,371,0.47746478873239434,"47,7%"
1h,DL,1.0,top10,72,37,35,0.5138888888888888,"51,4%"
1h,DL,1.0,low10,72,38,34,0.5277777777777778,"52,8%"
1h,DL,1.0,top15,107,51,56,0.4766355140186916,"47,7%"
1h,DL,1.0,low15,107,56,51,0.5233644859813084,"52,3%"
1h,DL,1.0,top20,143,69,74,0.4825174825174825,"48,3%"
1h,DL,1.0,low20,143,73,70,0.5104895104895105,51%
1h,DL,1.0,top25,179,85,94,0.4748603351955307,"47,5%"
1h,DL,1.0,low25,179,96,83,0.5363128491620112,"53,6%"
1h,DL,1.0,top30,214,104,110,0.48598130841121495,"48,6%"
1h,DL,1.0,low30,214,108,106,0.5046728971962616,"50,5%"
1h,DL,1.5,ALL,713,269,434,0.38264580369843526,"38,3%"
1h,DL,1.5,top10,72,28,44,0.3888888888888889,"38,9%"
1h,DL,1.5,low10,72,29,43,0.4027777777777778,"40,3%"
1h,DL,1.5,top15,107,39,67,0.36792452830188677,"36,8%"
1h,DL,1.5,low15,107,46,60,0.4339622641509434,"43,4%"
1h,DL,1.5,top20,143,52,90,0.36619718309859156,"36,6%"
1h,DL,1.5,low20,143,60,82,0.4225352112676056,"42,3%"
1h,DL,1.5,top25,179,66,112,0.3707865168539326,"37,1%"
1h,DL,1.5,low25,179,77,101,0.43258426966292135,"43,3%"
1h,DL,1.5,top30,214,82,130,0.3867924528301887,"38,7%"
1h,DL,1.5,low30,214,87,126,0.4084507042253521,"40,8%"
1h,DL,2.0,ALL,713,222,476,0.31805157593123207,"31,8%"
1h,DL,2.0,top10,72,20,50,0.2857142857142857,"28,6%"
1h,DL,2.0,low10,72,24,47,0.3380281690140845,"33,8%"
1h,DL,2.0,top15,107,31,73,0.2980769230769231,"29,8%"
1h,DL,2.0,low15,107,40,65,0.38095238095238093,"38,1%"
