Scenario,RankSetup,Config,Train Trades,Train WR,Train AvgR,Test Trades,Test WR,Test AvgR,Eligible
CLASSICS_ALL,ALL,tx0_be1_c100,430,0.3581395348837209,0.004651162790697674,193,0.3626943005181347,-0.05181347150259067,True
CLASSICS_ALL,ALL,tx1_be1_c100,430,0.3581395348837209,0.004651162790697674,193,0.3626943005181347,-0.05181347150259067,True
CLASSICS_ALL,ALL,tx0_be0_c100,430,0.4,0.0,193,0.37305699481865284,-0.06735751295336788,True
CLASSICS_ALL,ALL,tx1_be0_c100,430,0.4,0.0034941343634763656,193,0.37305699481865284,-0.06735751295336788,True
CLASSICS_ALL,ALL,tx0_be1_c101,289,0.3391003460207612,-0.03460207612456748,115,0.30434782608695654,-0.1956521739130435,True
CLASSICS_ALL,ALL,tx1_be1_c101,289,0.3391003460207612,-0.03460207612456748,115,0.30434782608695654,-0.1956521739130435,True
CLASSICS_ALL,ALL,tx0_be0_c101,289,0.3771626297577855,-0.05709342560553633,115,0.3130434782608696,-0.21739130434782608,True
CLASSICS_ALL,ALL,tx1_be0_c101,289,0.3771626297577855,-0.05189454056645385,115,0.3130434782608696,-0.21739130434782608,True
