ts,open,high,low,close,volume
2023-12-31 00:00:00+00:00,41846.2,42950.6,41289.0,42314.0,1204174882.0
2024-01-07 00:00:00+00:00,42314.0,45943.6,40322.0,43913.9,3213254326.0
2024-01-14 00:00:00+00:00,43913.9,49010.0,41371.5,41739.6,3906633544.0
2024-01-21 00:00:00+00:00,41739.6,43584.6,40300.0,41580.0,1704086480.0
2024-01-28 00:00:00+00:00,41580.0,42836.0,38549.9,42021.2,2209651150.0
2024-02-04 00:00:00+00:00,42021.2,43886.9,41785.9,42570.3,3036370226.0
2024-02-11 00:00:00+00:00,42570.3,48599.5,42235.5,48302.7,5213267961.0
2024-02-18 00:00:00+00:00,48302.7,52857.1,47711.6,52175.9,6936168270.0
2024-02-25 00:00:00+00:00,52175.9,53088.5,50534.9,51764.8,5540210880.0
2024-03-03 00:00:00+00:00,51764.8,64300.2,50924.7,63178.5,10726492203.0
2024-03-10 00:00:00+00:00,63178.5,70329.9,59059.7,69001.8,11003436145.0
2024-03-17 00:00:00+00:00,69001.8,73873.3,64566.0,68448.0,9011382327.0
2024-03-24 00:00:00+00:00,68448.0,69024.3,60818.8,67260.9,6262001812.0
2024-03-31 00:00:00+00:00,67260.9,71861.2,66428.1,71362.9,4413312587.0
2024-04-07 00:00:00+00:00,71362.9,71382.2,64500.8,69365.8,4829160905.0
2024-04-14 00:00:00+00:00,69365.8,72884.9,59956.8,65616.0,5314277898.0
2024-04-21 00:00:00+00:00,65616.0,66847.9,59566.8,64912.6,5795952697.0
2024-04-28 00:00:00+00:00,64912.6,67219.0,62304.9,63088.3,3884606117.0
2024-05-05 00:00:00+00:00,63088.3,64700.1,56505.0,63987.9,7108973153.0
2024-05-12 00:00:00+00:00,63987.9,65495.4,60153.1,61455.8,6106604339.0
2024-05-19 00:00:00+00:00,61455.8,67750.0,60750.0,66239.5,5331003422.0
2024-05-26 00:00:00+00:00,66239.5,72115.1,66010.1,68524.4,4583128633.0
2024-06-02 00:00:00+00:00,68524.4,70744.4,66700.5,67805.9,4217667451.0
2024-06-09 00:00:00+00:00,67805.9,72079.6,67642.6,69667.1,4686945525.0
2024-06-16 00:00:00+00:00,69667.1,70222.4,65054.0,66653.6,5103630824.0
2024-06-23 00:00:00+00:00,66653.6,67280.6,63142.0,63195.0,5575590650.0
2024-06-30 00:00:00+00:00,63195.0,63356.9,58245.9,62766.0,5999937523.0
2024-07-07 00:00:00+00:00,62766.0,63848.8,53356.0,55830.9,7976357368.0
2024-07-14 00:00:00+00:00,55830.9,61408.2,54246.3,60766.1,7967418811.0
2024-07-21 00:00:00+00:00,60766.1,68351.4,60622.6,68138.1,8235585374.0
2024-07-28 00:00:00+00:00,68138.1,69381.7,63456.6,68215.5,7415717294.0
2024-08-04 00:00:00+00:00,68215.5,70078.0,57055.0,58135.3,9652360714.0
2024-08-11 00:00:00+00:00,58135.3,62735.9,48910.7,58693.2,11817243305.0
