time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1768255200,91005.6,91203.8,91394.2,91005.5,14567702.0,132916276.30685,91005.6,91203.8,91394.2,91005.5
1768258800,91203.8,91252.4,91277.9,91023.0,9965078.0,90830978.70602,91203.9,91252.4,91277.9,91023.0
1768262400,91252.4,91436.4,91520.5,91201.9,11526951.0,105299389.9813,91252.4,91436.4,91520.5,91201.9
1768266000,91436.4,91157.3,91511.9,91010.0,10963658.0,100010455.72979,91436.3,91157.3,91511.9,91010.0
1768269600,91157.3,91093.4,91345.2,91069.4,9018234.0,82242308.65519,91157.4,91093.4,91345.2,91069.4
1768273200,91093.4,91380.8,91436.0,91085.3,11910246.0,108710180.10098,91093.5,91380.8,91436.0,91085.3
1768276800,91380.8,91479.3,91621.0,91317.7,8783399.0,80299420.80053,91380.9,91479.3,91621.0,91317.7
1768280400,91479.3,91883.6,92222.7,91450.1,20649309.0,189828231.05198,91479.4,91883.6,92222.7,91450.1
1768284000,91883.6,92147.0,92250.0,91764.9,16456931.0,151397471.27057,91883.7,92147.0,92250.0,91764.9
1768287600,92147.0,91908.3,92175.9,91866.4,21362411.0,196459409.45258,92146.9,91908.3,92175.9,91866.4
1768291200,91908.3,92137.7,92235.5,91881.1,15427909.0,141971473.79804,91908.5,92137.7,92235.5,91881.1
1768294800,92137.7,92238.0,92651.7,91893.6,33573736.0,309975377.15185,92137.8,92238.0,92651.7,91893.6
1768298400,92238.0,92092.5,92317.4,91979.9,12875738.0,118653493.78315,92238.0,92092.5,92317.4,91979.9
1768302000,92092.5,91962.1,92226.7,91928.7,11450826.0,105433461.16383,92092.6,91962.1,92226.7,91928.7
1768305600,91962.1,92076.3,92123.3,91868.0,10596504.0,97494348.11233,91962.0,92076.3,92123.3,91868.0
1768309200,92076.3,92021.1,92554.6,91943.3,35195011.0,324492846.1154,92076.2,92021.1,92554.6,91943.3
1768312800,92021.1,92414.2,92883.0,91726.2,46371048.0,428461031.91565,92020.0,92414.2,92883.0,91726.2
1768316400,92414.2,93402.4,93408.1,92069.0,59227993.0,549234048.49205,92414.2,93402.4,93408.1,92069.0
1768320000,93402.4,93341.6,93707.0,93011.0,45886546.0,428727369.97928,93406.0,93341.6,93707.0,93011.0
1768323600,93341.6,93190.5,93451.6,93050.0,25712652.0,239854374.73484,93341.7,93190.5,93451.6,93050.0
1768327200,93190.5,93581.1,93830.2,93140.7,29597868.0,276883107.99049,93190.5,93581.1,93830.2,93140.7
1768330800,93581.1,94178.3,94186.5,93421.7,34134516.0,320373190.42301,93581.0,94178.3,94186.5,93421.7
1768334400,94178.3,94357.9,94459.4,94038.9,35825249.0,337715786.28657,94178.2,94357.9,94459.4,94038.9
1768338000,94357.9,94035.8,94472.1,94012.4,19188763.0,180871227.3988,94357.8,94035.8,94472.1,94012.4
1768341600,94035.8,95730.5,96741.4,94035.8,86339840.0,823737696.87593,94035.9,95730.5,96741.4,94035.9
1768345200,95730.5,95375.2,96089.9,95026.9,28485760.0,272013208.31255,95730.5,95375.2,96089.9,95026.9
1768348800,95375.2,95196.4,95610.3,95123.7,14840977.0,141533949.63324,95375.1,95196.4,95610.3,95123.7
1768352400,95196.4,95191.5,95540.0,95082.1,14564354.0,138817467.27119,95196.3,95191.5,95540.0,95082.1
1768356000,95191.5,95300.6,95517.9,95153.4,10292910.0,98152353.91825,95191.4,95300.6,95517.9,95153.4
1768359600,95300.6,95665.6,95670.2,95235.8,11531287.0,110059914.29316,95300.7,95665.6,95670.2,95235.8
1768363200,95665.6,95192.3,95756.2,95172.8,11112643.0,106020839.23083,95665.6,95192.3,95756.2,95172.8
1768366800,95192.3,94963.1,95236.7,94909.3,12597607.0,119747131.36387,95192.2,94963.1,95236.7,94909.3
1768370400,94963.1,94984.7,94986.5,94453.6,19993917.0,189477820.57681,94963.2,94984.7,94986.5,94453.6
1768374000,94984.7,95166.7,95213.6,94814.4,15293912.0,145320991.47637,94984.8,95166.7,95213.6,94814.4
1768377600,95166.7,94866.3,95289.0,94856.0,12732146.0,121058850.30302,95166.7,94866.3,95289.0,94856.0
1768381200,94866.3,95051.5,95152.9,94842.2,13411247.0,127431787.54106,94866.2,95051.5,95152.9,94842.2
1768384800,95051.5,95050.0,95252.0,94841.7,19273578.0,183221229.86393,95046.1,95050.0,95252.0,94841.7
1768388400,95050.0,94763.9,95058.5,94700.0,10721181.0,101722365.86223,95048.3,94763.9,95058.5,94700.0
1768392000,94763.9,95041.5,95129.7,94643.2,11841732.0,112455981.15161,94763.8,95041.5,95129.7,94643.2
1768395600,95041.5,94966.7,95200.0,94845.4,15095898.0,143440320.42905,95041.5,94966.7,95200.0,94845.4
1768399200,94966.7,96452.8,96780.4,94944.6,74569273.0,715216519.81306,94966.8,96452.8,96780.4,94944.6
1768402800,96452.8,96691.9,97054.6,96131.0,55833192.0,539450218.56135,96450.8,96691.9,97054.6,96131.0
1768406400,96691.9,97232.2,97643.8,96666.5,59128705.0,575021254.1469,96691.9,97232.2,97643.8,96666.5
1768410000,97232.2,96895.1,97736.5,96689.2,44690759.0,434695890.19785,97232.3,96895.1,97736.5,96689.2
1768413600,96895.1,96764.5,97065.8,96181.1,35879348.0,346755026.89636,96895.1,96764.5,97065.8,96181.1
1768417200,96764.5,97221.6,97605.2,96637.0,28565628.0,277599019.51358,96760.0,97221.6,97605.2,96637.0
