scenario,config,timeframe,setup,armed_ts,ladder_touch_ts,signal_ts,fill_ts,entry,stop,risk,ladder_touch_ma,ladder_stop_ma,use_time_exit,use_breakeven,req_close_gt10,hit_1,exit_type_1,R_1,exit_ts_1,hit_1.5,exit_type_1.5,R_1.5,exit_ts_1.5,hit_2,exit_type_2,R_2,exit_ts_2,hit_3,exit_type_3,R_3,exit_ts_3
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-09 04:00:00+00:00,2020-07-09 08:00:00+00:00,2020-07-09 08:00:00+00:00,2020-07-09 12:00:00+00:00,9413.52581,9321.207523333334,92.31828666666479,10,15,False,False,,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-22 20:00:00+00:00,2020-07-22 20:00:00+00:00,2020-07-23 04:00:00+00:00,2020-07-23 08:00:00+00:00,9516.02581,9299.740856666667,216.28495333333194,10,15,False,False,,True,target,1.0,2020-07-26 04:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-27 00:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-23 08:00:00+00:00,2020-07-24 04:00:00+00:00,2020-07-24 12:00:00+00:00,2020-07-24 16:00:00+00:00,9573.02581,9450.807523333335,122.21828666666443,10,15,False,False,,True,target,1.0,2020-07-25 16:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-26 08:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-24 16:00:00+00:00,2020-07-24 16:00:00+00:00,2020-07-24 16:00:00+00:00,2020-07-24 20:00:00+00:00,9597.52581,9491.740856666667,105.78495333333194,10,15,False,False,,True,target,1.0,2020-07-25 16:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-26 08:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-25 00:00:00+00:00,2020-07-25 00:00:00+00:00,2020-07-25 12:00:00+00:00,2020-07-25 16:00:00+00:00,9619.52581,9474.799190000002,144.72661999999764,15,20,False,False,,True,target,1.0,2020-07-26 08:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-26 08:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-25 16:00:00+00:00,2020-07-29 00:00:00+00:00,2020-07-29 00:00:00+00:00,2020-07-29 04:00:00+00:00,11008.02581,10620.37419,387.65161999999873,10,15,False,False,,True,target,1.0,2020-07-31 16:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 16:00:00+00:00,False,timeout_loss,-1.0,2020-08-06 08:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-29 04:00:00+00:00,2020-07-29 04:00:00+00:00,2020-07-29 04:00:00+00:00,2020-07-29 08:00:00+00:00,11087.02581,10696.707523333334,390.3182866666648,10,15,False,False,,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-02 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-06 12:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-29 08:00:00+00:00,2020-07-29 08:00:00+00:00,2020-07-29 08:00:00+00:00,2020-07-29 12:00:00+00:00,11154.02581,10774.407523333333,379.6182866666659,10,15,False,False,,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-02 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-06 16:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-29 12:00:00+00:00,2020-07-29 12:00:00+00:00,2020-07-29 16:00:00+00:00,2020-07-29 20:00:00+00:00,11293.52581,10834.940856666668,458.5849533333312,10,15,False,False,,True,target,1.0,2020-08-01 16:00:00+00:00,True,target,1.5,2020-08-02 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-07 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-07 00:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-29 20:00:00+00:00,2020-07-30 00:00:00+00:00,2020-07-30 08:00:00+00:00,2020-07-30 12:00:00+00:00,11020.52581,10798.674190000002,221.85161999999764,15,20,False,False,,True,target,1.0,2020-07-31 12:00:00+00:00,True,target,1.5,2020-07-31 12:00:00+00:00,True,target,2.0,2020-08-01 04:00:00+00:00,True,target,3.0,2020-08-01 04:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-30 16:00:00+00:00,2020-07-30 16:00:00+00:00,2020-07-30 16:00:00+00:00,2020-07-30 20:00:00+00:00,11145.52581,10792.35419,353.17161999999917,20,25,False,False,,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 16:00:00+00:00,False,timeout_loss,-1.0,2020-08-08 00:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-30 20:00:00+00:00,2020-07-31 00:00:00+00:00,2020-07-31 00:00:00+00:00,2020-07-31 04:00:00+00:00,11148.02581,10883.814190000001,264.2116199999982,20,25,False,False,,True,target,1.0,2020-07-31 16:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 04:00:00+00:00,True,target,3.0,2020-08-02 00:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-07-31 04:00:00+00:00,2020-07-31 04:00:00+00:00,2020-07-31 04:00:00+00:00,2020-07-31 08:00:00+00:00,11168.52581,10918.834190000001,249.69161999999778,20,25,False,False,,True,target,1.0,2020-07-31 16:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 04:00:00+00:00,True,target,3.0,2020-08-02 00:00:00+00:00
LADDER_ONLY,tx0_be0,4h,MA_LADDER,2020-08-18 04:00:00+00:00,2020-08-18 12:00:00+00:00,2020-08-18 16:00:00+00:00,2020-08-18 20:00:00+00:00,12053.52581,11805.97419,247.55161999999837,35,40,False,False,,False,stop,-1.0,2020-08-19 04:00:00+00:00,False,stop,-1.0,2020-08-19 04:00:00+00:00,False,stop,-1.0,2020-08-19 04:00:00+00:00,False,stop,-1.0,2020-08-19 04:00:00+00:00
