ts,open,high,low,close,volume
2023-12-29 00:00:00+00:00,41846.2,42284.6,41289.0,42095.1,298596132.0
2023-12-30 00:00:00+00:00,42095.1,42654.3,41551.4,42174.3,520684315.0
2023-12-31 00:00:00+00:00,42174.3,42950.6,42001.1,42314.0,384894435.0
2024-01-01 00:00:00+00:00,42314.0,44264.3,42212.0,44230.2,461115055.0
2024-01-02 00:00:00+00:00,44230.2,45943.6,44201.2,44979.7,830218969.0
2024-01-03 00:00:00+00:00,44979.7,45582.2,40322.0,42849.5,684869175.0
2024-01-04 00:00:00+00:00,42849.5,44800.0,42625.0,44145.2,385001708.0
2024-01-05 00:00:00+00:00,44145.2,44483.4,42312.3,44143.5,440734229.0
2024-01-06 00:00:00+00:00,44143.5,44214.6,43394.3,43958.2,164773445.0
2024-01-07 00:00:00+00:00,43958.2,44485.0,43565.8,43913.9,246541745.0
2024-01-08 00:00:00+00:00,43913.9,47287.0,43158.4,46972.7,608987422.0
2024-01-09 00:00:00+00:00,46972.7,48067.1,44730.1,46117.8,614176148.0
2024-01-10 00:00:00+00:00,46117.8,47699.0,44300.9,46663.0,817660258.0
2024-01-11 00:00:00+00:00,46663.0,49010.0,45601.1,46338.1,706255179.0
2024-01-12 00:00:00+00:00,46338.1,46533.4,41371.5,42787.4,600195498.0
2024-01-13 00:00:00+00:00,42787.4,43271.7,42445.7,42846.5,256847669.0
2024-01-14 00:00:00+00:00,42846.5,43095.4,41718.2,41739.6,302511370.0
2024-01-15 00:00:00+00:00,41739.6,43375.6,41720.1,42515.1,323849568.0
2024-01-16 00:00:00+00:00,42515.1,43584.6,42059.0,43133.0,273082853.0
2024-01-17 00:00:00+00:00,43133.0,43198.0,42202.7,42783.3,221252185.0
2024-01-18 00:00:00+00:00,42783.3,42932.1,40675.0,41323.0,358780748.0
2024-01-19 00:00:00+00:00,41323.0,42191.9,40300.0,41662.2,337623706.0
2024-01-20 00:00:00+00:00,41662.2,41880.0,41453.7,41691.8,104644268.0
2024-01-21 00:00:00+00:00,41691.8,41879.0,41500.1,41580.0,84853152.0
2024-01-22 00:00:00+00:00,41580.0,41690.6,39402.9,39567.1,503715452.0
2024-01-23 00:00:00+00:00,39567.1,40172.7,38549.9,39890.0,418855166.0
2024-01-24 00:00:00+00:00,39890.0,40551.9,39493.3,40078.4,294581288.0
2024-01-25 00:00:00+00:00,40078.4,40299.7,39537.0,39953.4,223797612.0
2024-01-26 00:00:00+00:00,39953.4,42231.9,39813.1,41806.4,364229843.0
2024-01-27 00:00:00+00:00,41806.4,42187.0,41375.1,42102.2,140721006.0
2024-01-28 00:00:00+00:00,42102.2,42836.0,41600.2,42021.2,263750783.0
2024-01-29 00:00:00+00:00,42021.2,43340.0,41785.9,43287.6,290718944.0
