Config,BASE Train Trades,BASE Train AvgR,BASE Test Trades,BASE Test AvgR,BEST dist_sma8_max,BEST dist_sma80_max,BEST sma_gap_min,BEST Train Trades,BEST Train AvgR,BEST Test Trades,BEST Test AvgR
htf1_tx0_be1,604,-0.028973509933774833,254,-0.07874015748031496,0.02,0.03,0.005,200,0.075,153,-0.0032679738562091504
htf1_tx1_be1,604,-0.008478484349475748,254,-0.07874015748031496,0.02,0.03,0.005,200,0.09180706076435222,153,-0.0032679738562091504
