Symbol,ExitProfile,FilterCfg,Train Trades,Test Trades,Eligible,Train WR 1,Train AvgR 1,Test WR 1,Test AvgR 1,Train WR 1.5,Train AvgR 1.5,Test WR 1.5,Test AvgR 1.5,Train WR 2,Train AvgR 2,Test WR 2,Test AvgR 2,Train WR 3,Train AvgR 3,Test WR 3,Test AvgR 3
SOL_USDT,E10,a0_b0_c0,511,219,True,0.5146771037181996,0.04071046475093165,0.502283105022831,0.0045662100456621,0.4090019569471624,0.04148774807470327,0.410958904109589,0.050981088166375255,0.34833659491193736,0.07768448545266864,0.3378995433789954,0.06348904966590203,0.26614481409001955,0.14506669065572197,0.2557077625570776,0.09547777060412564
SOL_USDT,E00,a0_b0_c0,511,219,True,0.5146771037181996,0.029354207436399216,0.502283105022831,0.0045662100456621,0.4090019569471624,0.022504892367906065,0.410958904109589,0.0273972602739726,0.34833659491193736,0.04500978473581213,0.3378995433789954,0.0136986301369863,0.26614481409001955,0.06457925636007827,0.2557077625570776,0.0228310502283105
SOL_USDT,E11,a0_b0_c0,511,219,True,0.43052837573385516,0.0350741749633535,0.4018264840182648,-0.0319634703196347,0.350293542074364,0.03393520959906764,0.3561643835616438,0.024631053472114573,0.299412915851272,0.04038062430887877,0.3059360730593607,0.05098108816637526,0.2446183953033268,0.13507231310836637,0.2328767123287671,0.07775639378327832
SOL_USDT,E11,a0_b1_c0,230,99,True,0.4391304347826087,0.033588401533901344,0.41414141414141414,0.0,0.36086956521739133,0.06184927109911874,0.36363636363636365,0.024183845559526178,0.2956521739130435,0.033588401533901344,0.30303030303030304,0.024183845559526178,0.2391304347826087,0.09705682504337954,0.21212121212121213,-0.02768654370170022
SOL_USDT,E01,a0_b0_c0,511,219,True,0.43052837573385516,0.0273972602739726,0.4018264840182648,-0.0319634703196347,0.350293542074364,0.018590998043052837,0.3561643835616438,0.0182648401826484,0.299412915851272,0.01761252446183953,0.3059360730593607,0.0273972602739726,0.2446183953033268,0.05675146771037182,0.2328767123287671,0.0136986301369863
SOL_USDT,E01,a0_b1_c0,230,99,True,0.4391304347826087,0.021739130434782608,0.41414141414141414,0.0,0.36086956521739133,0.05,0.36363636363636365,0.010101010101010102,0.2956521739130435,0.021739130434782608,0.30303030303030304,0.010101010101010102,0.2391304347826087,0.04782608695652174,0.21212121212121213,-0.08080808080808081
SOL_USDT,E10,a0_b1_c0,230,99,True,0.5173913043478261,0.04663187979477091,0.494949494949495,-0.010101010101010102,0.4217391304347826,0.06619709718607526,0.3939393939393939,-0.0010686796929990751,0.3521739130434783,0.07881685455000277,0.3333333333333333,0.02156044254369973,0.27391304347826084,0.14488291199990128,0.24242424242424243,0.022818506803350284
SOL_USDT,E00,a0_b1_c0,230,99,True,0.5173913043478261,0.034782608695652174,0.494949494949495,-0.010101010101010102,0.4217391304347826,0.05434782608695652,0.3939393939393939,-0.015151515151515152,0.3521739130434783,0.05652173913043478,0.3333333333333333,0.0,0.27391304347826084,0.09565217391304348,0.24242424242424243,-0.030303030303030304
SOL_USDT,E01,a1_b1_c0,102,44,False,0.4117647058823529,-0.0784313725490196,0.5681818181818182,0.25,0.3137254901960784,-0.09803921568627451,0.38636363636363635,0.19318181818181818,0.27450980392156865,-0.10784313725490197,0.38636363636363635,0.25,0.20588235294117646,-0.08823529411764706,0.25,0.06818181818181818
SOL_USDT,E11,a1_b1_c0,102,44,False,0.4117647058823529,-0.066554735478724,0.5681818181818182,0.25,0.3137254901960784,-0.0861625786159789,0.38636363636363635,0.19318181818181818,0.27450980392156865,-0.09596650018460634,0.38636363636363635,0.25,0.20588235294117646,-0.07635865704735144,0.25,0.06818181818181818
SOL_USDT,E11,a1_b0_c0,115,50,False,0.4,-0.07642246103330302,0.56,0.24395142106952666,0.30434782608695654,-0.10685724364199867,0.38,0.17395142106952666,0.26956521739130435,-0.11990072190286824,0.4,0.3039514210695266,0.20869565217391303,-0.07642246103330302,0.28,0.20395142106952666
SOL_USDT,E10,a1_b0_c0,115,50,False,0.45217391304347826,-0.08511811320721606,0.58,0.18395142106952667,0.3217391304347826,-0.18511811320721605,0.46,0.17395142106952663,0.2956521739130435,-0.10250941755504214,0.42,0.28395142106952664,0.25217391304347825,0.01922971287974046,0.28,0.14395142106952666
SOL_USDT,E00,a1_b0_c0,115,50,False,0.45217391304347826,-0.09565217391304348,0.58,0.16,0.3217391304347826,-0.1956521739130435,0.46,0.15,0.2956521739130435,-0.11304347826086956,0.42,0.26,0.25217391304347825,0.008695652173913044,0.28,0.12
SOL_USDT,E01,a1_b0_c0,115,50,False,0.4,-0.08695652173913043,0.56,0.22,0.30434782608695654,-0.11739130434782609,0.38,0.15,0.26956521739130435,-0.13043478260869565,0.4,0.28,0.20869565217391303,-0.08695652173913043,0.28,0.18
SOL_USDT,E00,a1_b1_c0,102,44,False,0.45098039215686275,-0.09803921568627451,0.6136363636363636,0.22727272727272727,0.3333333333333333,-0.16666666666666666,0.45454545454545453,0.13636363636363635,0.30392156862745096,-0.08823529411764706,0.4090909090909091,0.22727272727272727,0.2549019607843137,0.0196078431372549,0.25,0.0
SOL_USDT,E10,a1_b1_c0,102,44,False,0.45098039215686275,-0.0861625786159789,0.6136363636363636,0.22727272727272727,0.3333333333333333,-0.15479002959637106,0.45454545454545453,0.13636363636363635,0.30392156862745096,-0.07635865704735144,0.4090909090909091,0.22727272727272727,0.2549019607843137,0.03148448020755052,0.25,0.0
