timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
2h,DL,1.0,2,58,25,32,0.43859649122807015,"43,9%"
2h,DL,1.0,3,32,12,20,0.375,"37,5%"
2h,DL,1.0,4,29,10,18,0.35714285714285715,"35,7%"
2h,DL,1.5,ALL,380,142,231,0.3806970509383378,"38,1%"
2h,DL,1.5,1,261,105,151,0.41015625,41%
2h,DL,1.5,2,58,20,37,0.3508771929824561,"35,1%"
2h,DL,1.5,3,32,10,22,0.3125,"31,2%"
2h,DL,1.5,4,29,7,21,0.25,25%
2h,DL,2.0,ALL,380,118,251,0.31978319783197834,32%
2h,DL,2.0,1,261,89,165,0.35039370078740156,35%
2h,DL,2.0,2,58,14,41,0.2545454545454545,"25,5%"
2h,DL,2.0,3,32,9,23,0.28125,"28,1%"
2h,DL,2.0,4,29,6,22,0.21428571428571427,"21,4%"
2h,IB,1.0,ALL,200,94,105,0.4723618090452261,"47,2%"
2h,IB,1.0,1,151,76,74,0.5066666666666667,"50,7%"
2h,IB,1.0,2,30,16,14,0.5333333333333333,"53,3%"
2h,IB,1.0,3,10,0,10,0.0,0%
2h,IB,1.0,4,9,2,7,0.2222222222222222,"22,2%"
2h,IB,1.5,ALL,200,64,133,0.3248730964467005,"32,5%"
2h,IB,1.5,1,151,53,96,0.35570469798657717,"35,6%"
2h,IB,1.5,2,30,10,19,0.3448275862068966,"34,5%"
2h,IB,1.5,3,10,0,10,0.0,0%
2h,IB,1.5,4,9,1,8,0.1111111111111111,"11,1%"
2h,IB,2.0,ALL,200,59,138,0.29949238578680204,"29,9%"
2h,IB,2.0,1,151,49,100,0.3288590604026846,"32,9%"
2h,IB,2.0,2,30,9,20,0.3103448275862069,31%
2h,IB,2.0,3,10,0,10,0.0,0%
2h,IB,2.0,4,9,1,8,0.1111111111111111,"11,1%"
2h,PFR,1.0,ALL,224,115,106,0.5203619909502263,52%
2h,PFR,1.0,1,179,94,84,0.5280898876404494,"52,8%"
2h,PFR,1.0,2,26,12,13,0.48,48%
2h,PFR,1.0,3,11,6,5,0.5454545454545454,"54,5%"
2h,PFR,1.0,4,8,3,4,0.42857142857142855,"42,9%"
2h,PFR,1.5,ALL,224,97,120,0.4470046082949309,"44,7%"
2h,PFR,1.5,1,179,78,96,0.4482758620689655,"44,8%"
2h,PFR,1.5,2,26,10,15,0.4,40%
2h,PFR,1.5,3,11,6,5,0.5454545454545454,"54,5%"
2h,PFR,1.5,4,8,3,4,0.42857142857142855,"42,9%"
2h,PFR,2.0,ALL,224,78,135,0.36619718309859156,"36,6%"
2h,PFR,2.0,1,179,64,108,0.37209302325581395,"37,2%"
2h,PFR,2.0,2,26,6,17,0.2608695652173913,"26,1%"
2h,PFR,2.0,3,11,6,5,0.5454545454545454,"54,5%"
2h,PFR,2.0,4,8,2,5,0.2857142857142857,"28,6%"
4h,DL,1.0,ALL,199,86,113,0.4321608040201005,"43,2%"
4h,DL,1.0,1,140,64,76,0.45714285714285713,"45,7%"
4h,DL,1.0,2,31,11,20,0.3548387096774194,"35,5%"
4h,DL,1.0,3,16,6,10,0.375,"37,5%"
4h,DL,1.0,4,12,5,7,0.4166666666666667,"41,7%"
4h,DL,1.5,ALL,199,69,128,0.350253807106599,35%
4h,DL,1.5,1,140,52,87,0.37410071942446044,"37,4%"
4h,DL,1.5,2,31,8,22,0.26666666666666666,"26,7%"
4h,DL,1.5,3,16,5,11,0.3125,"31,2%"
4h,DL,1.5,4,12,4,8,0.3333333333333333,"33,3%"
4h,DL,2.0,ALL,199,57,140,0.2893401015228426,"28,9%"
4h,DL,2.0,1,140,43,96,0.30935251798561153,"30,9%"
4h,DL,2.0,2,31,8,22,0.26666666666666666,"26,7%"
4h,DL,2.0,3,16,2,14,0.125,"12,5%"
4h,DL,2.0,4,12,4,8,0.3333333333333333,"33,3%"
4h,IB,1.0,ALL,105,41,64,0.3904761904761905,39%
4h,IB,1.0,1,76,36,40,0.47368421052631576,"47,4%"
4h,IB,1.0,2,19,3,16,0.15789473684210525,"15,8%"
4h,IB,1.0,3,6,0,6,0.0,0%
4h,IB,1.0,4,4,2,2,0.5,50%
4h,IB,1.5,ALL,105,35,70,0.3333333333333333,"33,3%"
4h,IB,1.5,1,76,30,46,0.39473684210526316,"39,5%"
